,date,open,high,low,close,volume,chg_pct,inst_sum,inst_ext,retail,foreign,per,pbr,div,KOSPI,SP500_US(-1),NASDAQ_US(-1),SOX_US(-1),SHANGHAI,HANGSENG,NIKKEI
0,2023-09-25,10910,11080,10640,10680,1671218,-2.997275204359673,630928550,913452470,-153465590,-1390915430,9.18,1.29,2.25,2495.760009765625,,,,3115.60693359375,17729.2890625,32678.619140625
1,2023-09-26,10680,11090,10650,10660,2295672,-0.18726591760299627,165875820,161375790,-663721340,336469730,9.17,1.29,2.25,2462.969970703125,4337.43994140625,13271.3203125,3389.4599609375,3102.27294921875,17466.900390625,32315.05078125
2,2023-09-27,10510,10610,10370,10600,1667702,-0.5628517823639775,1397540750,761990,878753090,-2277055830,9.11,1.28,2.26,2465.070068359375,4273.52978515625,13063.6103515625,3329.6201171875,3107.31591796875,17611.869140625,32371.900390625
3,2023-10-04,10590,10590,9770,9800,3345518,-7.547169811320755,-2977169520,58291870,12468492510,-9549614860,8.43,1.18,2.45,2405.68994140625,4229.4501953125,13059.4697265625,3376.580078125,,17195.83984375,30526.880859375
4,2023-10-05,9830,10010,9500,9540,2079828,-2.6530612244897958,-624937410,-149112210,1253753810,-479704190,8.2,1.15,2.52,2403.60009765625,4263.75,13236.009765625,3424.919921875,,17213.869140625,31075.359375
5,2023-10-06,9490,9700,9350,9390,1509612,-1.5723270440251573,-994360960,70748370,894605060,29007530,8.07,1.14,2.56,2408.72998046875,4258.18994140625,13219.830078125,3406.97998046875,,17485.98046875,30994.669921875
6,2023-10-10,9470,9820,9380,9410,1754435,0.21299254526091588,1055305140,100512230,-2193753980,1037936610,8.09,1.14,2.55,2402.580078125,4335.66015625,13484.240234375,3467.35009765625,3075.239990234375,17664.73046875,31746.529296875
7,2023-10-11,9560,9710,9490,9650,1525620,2.5504782146652496,1342430050,-1285410,-886947040,-454197600,8.3,1.17,2.49,2450.080078125,4358.240234375,13562.83984375,3512.070068359375,3078.9560546875,17893.099609375,31936.509765625
8,2023-10-12,9790,9920,9600,9640,1589416,-0.10362694300518134,-1963628450,17812870,1633128590,312686990,8.29,1.17,2.49,2479.820068359375,4376.9501953125,13659.6796875,3537.830078125,3107.90087890625,18238.2109375,32494.66015625
9,2023-10-13,9640,9760,9470,9490,1431755,-1.5560165975103735,-1604681530,-32178780,1935270050,-298409740,8.16,1.15,2.53,2456.14990234375,4349.60986328125,13574.2197265625,3548.6201171875,3088.10009765625,17813.44921875,32315.990234375
10,2023-10-16,9400,9470,9110,9270,1969522,-2.3182297154899896,-3390856320,-34246850,216938890,3208164280,7.97,1.12,2.59,2436.239990234375,4327.77978515625,13407.23046875,3452.969970703125,3073.81298828125,17640.359375,31659.029296875
11,2023-10-17,9350,9470,9160,9190,2153028,-0.8629989212513484,-8890178570,62872290,4503005780,4324300500,7.9,1.11,2.61,2460.169921875,4373.6298828125,13567.98046875,3502.510009765625,3083.5,17773.33984375,32040.2890625
