,date,open,high,low,close,volume,chg_pct,inst_sum,inst_ext,retail,foreign,per,pbr,div,KOSPI,SP500_US(-1),NASDAQ_US(-1),SOX_US(-1),SHANGHAI,HANGSENG,NIKKEI
0,2023-09-25,12570,12662,12422,12515,860198,-0.8791382860763505,7863880,2224890,619670860,-629759630,0.0,0.49,0.0,2495.760009765625,,,,3115.60693359375,17729.2890625,32678.619140625
1,2023-09-26,12495,12551,12181,12311,1139101,-1.630043947263284,-1059566660,188568370,3198025780,-2327027490,0.0,0.48,0.0,2462.969970703125,4337.43994140625,13271.3203125,3389.4599609375,3102.27294921875,17466.900390625,32315.05078125
2,2023-09-27,12135,12255,12107,12117,1345080,-1.575826496629031,-477081870,238492180,6937646400,-6699056710,0.0,0.47,0.0,2465.070068359375,4273.52978515625,13063.6103515625,3329.6201171875,3107.31591796875,17611.869140625,32371.900390625
3,2023-10-04,12116,12126,11312,11470,3617967,-5.339605512915738,-3333902540,92514640,13936758580,-10695370680,0.0,0.45,0.0,2405.68994140625,4229.4501953125,13059.4697265625,3376.580078125,,17195.83984375,30526.880859375
4,2023-10-05,11525,11709,11312,11405,1247401,-0.5666957279860506,61992630,-87961280,1164554680,-1138586030,0.0,0.45,0.0,2403.60009765625,4263.75,13236.009765625,3424.919921875,,17213.869140625,31075.359375
5,2023-10-06,11312,11322,10490,10712,5290153,-6.07628233231039,-8539206910,331671320,26761545250,-18554009660,0.0,0.42,0.0,2408.72998046875,4258.18994140625,13219.830078125,3406.97998046875,,17485.98046875,30994.669921875
6,2023-10-10,10721,11303,10684,11202,3069006,4.574309185959671,1833100320,24875940,-8038168350,6180192090,0.0,0.44,0.0,2402.580078125,4335.66015625,13484.240234375,3467.35009765625,3075.239990234375,17664.73046875,31746.529296875
7,2023-10-11,11248,11673,11248,11627,1896914,3.793965363327977,884358500,74550290,-5478910840,4520002050,0.0,0.46,0.0,2450.080078125,4358.240234375,13562.83984375,3512.070068359375,3078.9560546875,17893.099609375,31936.509765625
8,2023-10-12,11682,11719,11534,11544,1112228,-0.7138556807430979,1864685160,-52278950,616095260,-2428501470,0.0,0.45,0.0,2479.820068359375,4376.9501953125,13659.6796875,3537.830078125,3107.90087890625,18238.2109375,32494.66015625
9,2023-10-13,11470,11618,11340,11461,1058697,-0.718988218988219,-2373605630,-17277900,828700750,1562182780,0.0,0.45,0.0,2456.14990234375,4349.60986328125,13574.2197265625,3548.6201171875,3088.10009765625,17813.44921875,32315.990234375
10,2023-10-16,11414,11525,11238,11405,785101,-0.4886135590262629,392344480,59382250,-409921700,-41805030,0.0,0.45,0.0,2436.239990234375,4327.77978515625,13407.23046875,3452.969970703125,3073.81298828125,17640.359375,31659.029296875
