,date,open,high,low,close,volume,chg_pct,inst_sum,inst_ext,retail,foreign,per,pbr,div,KOSPI,SP500_US(-1),NASDAQ_US(-1),SOX_US(-1),SHANGHAI,HANGSENG,NIKKEI
0,2023-09-25,243500,250500,242500,248000,94701,2.05761316872428,3205108000,1376541500,-7781841000,3200191500,5.99,1.38,1.67,2495.760009765625,,,,3115.60693359375,17729.2890625,32678.619140625
1,2023-09-26,249500,249500,241000,242000,107994,-2.4193548387096775,-134500000,200293000,1827336500,-1893129500,5.84,1.34,1.71,2462.969970703125,4337.43994140625,13271.3203125,3389.4599609375,3102.27294921875,17466.900390625,32315.05078125
2,2023-09-27,239000,245500,239000,244500,106976,1.0330578512396695,1569648000,10143514000,-12227969000,514807000,5.9,1.36,1.7,2465.070068359375,4273.52978515625,13063.6103515625,3329.6201171875,3107.31591796875,17611.869140625,32371.900390625
3,2023-10-04,241500,242500,236500,237000,170488,-3.067484662576687,-2958939000,690505500,512540000,1755893500,5.72,1.31,1.75,2405.68994140625,4229.4501953125,13059.4697265625,3376.580078125,,17195.83984375,30526.880859375
4,2023-10-05,238000,241000,236000,237000,83783,0.0,-734759500,1723877000,-737421000,-251696500,5.72,1.31,1.75,2403.60009765625,4263.75,13236.009765625,3424.919921875,,17213.869140625,31075.359375
5,2023-10-06,237000,238500,227500,230000,202221,-2.9535864978902953,-2205580000,-5685820500,6287288000,1604112500,5.55,1.28,1.8,2408.72998046875,4258.18994140625,13219.830078125,3406.97998046875,,17485.98046875,30994.669921875
6,2023-10-10,232000,242000,232000,234500,185412,1.956521739130435,2623896000,2235961000,-10310409500,5450552500,5.66,1.3,1.77,2402.580078125,4335.66015625,13484.240234375,3467.35009765625,3075.239990234375,17664.73046875,31746.529296875
7,2023-10-11,237500,240500,236000,237000,147515,1.0660980810234542,384852000,617000500,-1028764000,26911500,5.72,1.31,1.75,2450.080078125,4358.240234375,13562.83984375,3512.070068359375,3078.9560546875,17893.099609375,31936.509765625
8,2023-10-12,238500,241500,237500,239500,109928,1.0548523206751055,-3421377000,1334280500,-1699824500,3786921000,5.78,1.33,1.73,2479.820068359375,4376.9501953125,13659.6796875,3537.830078125,3107.90087890625,18238.2109375,32494.66015625
9,2023-10-13,238500,244000,238500,238500,75818,-0.41753653444676403,-1616421000,-56672500,199890000,1473203500,5.76,1.32,1.74,2456.14990234375,4349.60986328125,13574.2197265625,3548.6201171875,3088.10009765625,17813.44921875,32315.990234375
10,2023-10-16,238500,240000,231500,236000,97687,-1.0482180293501049,-5667306500,-108783000,3220253000,2555836500,5.7,1.31,1.76,2436.239990234375,4327.77978515625,13407.23046875,3452.969970703125,3073.81298828125,17640.359375,31659.029296875
11,2023-10-17,236000,241000,236000,237000,103039,0.423728813559322,-4262907000,137950000,-2544224000,6669181000,5.72,1.31,1.75,2460.169921875,4373.6298828125,13567.98046875,3502.510009765625,3083.5,17773.33984375,32040.2890625
12,2023-10-18,236000,238000,227000,229000,287477,-3.375527426160337,-7638513500,-7431887500,20669987500,-5599586500,5.53,1.27,1.81,2462.60009765625,4373.2001953125,13533.75,3474.659912109375,3058.7099609375,17732.51953125,32042.25
13,2023-10-19,226000,227000,217000,218000,347546,-4.8034934497816595,-4368138500,-3703396500,4258025000,3813510000,5.26,1.21,1.9,2415.800048828125,4314.60009765625,13314.2998046875,3413.449951171875,3005.39306640625,17295.890625,31430.619140625
14,2023-10-20,215500,221500,213000,219000,170747,0.45871559633027525,2653185500,-55182000,-5955515500,3357512000,5.29,1.21,1.89,2375.0,4278.0,13186.1796875,3367.77001953125,2983.06005859375,17172.130859375,31259.359375
15,2023-10-23,219000,222500,218500,218500,112061,-0.228310502283105,-174115000,5077199500,-6347359500,1444275000,5.28,1.21,1.9,2357.02001953125,4224.16015625,12983.8095703125,3316.139892578125,2939.291015625,,30999.55078125
16,2023-10-24,221000,226000,219000,226000,152065,3.4324942791762014,5872658000,-54044000,-5780665500,-37948500,5.46,1.25,1.84,2383.510009765625,4217.0400390625,13018.330078125,3298.5400390625,2962.243896484375,16991.529296875,31062.349609375
