,date,open,high,low,close,volume,chg_pct,inst_sum,inst_ext,retail,foreign,per,pbr,div,KOSPI,SP500_US(-1),NASDAQ_US(-1),SOX_US(-1),SHANGHAI,HANGSENG,NIKKEI
0,2023-09-25,43200,43700,42700,43350,344376,1.1668611435239207,3620054850,0,-2375447100,-1244607750,23.6,0.36,0.0,2495.760009765625,,,,3115.60693359375,17729.2890625,32678.619140625
1,2023-09-26,42900,43050,41800,42650,329337,-1.6147635524798154,2249247150,127500,-289860000,-1959514650,23.22,0.36,0.0,2462.969970703125,4337.43994140625,13271.3203125,3389.4599609375,3102.27294921875,17466.900390625,32315.05078125
2,2023-09-27,42050,42900,41600,42450,375365,-0.4689331770222743,3888654600,0,-859244000,-3029410600,23.11,0.36,0.0,2465.070068359375,4273.52978515625,13063.6103515625,3329.6201171875,3107.31591796875,17611.869140625,32371.900390625
3,2023-10-04,41550,41800,40700,41400,392476,-2.4734982332155475,1106613000,3218100,119604850,-1229435950,22.54,0.35,0.0,2405.68994140625,4229.4501953125,13059.4697265625,3376.580078125,,17195.83984375,30526.880859375
4,2023-10-05,41400,42950,41200,42750,366470,3.260869565217391,3126784600,-85344000,-1920785750,-1120654850,23.27,0.36,0.0,2403.60009765625,4263.75,13236.009765625,3424.919921875,,17213.869140625,31075.359375
5,2023-10-06,43150,43250,42000,42700,183079,-0.11695906432748539,3416978750,48600000,-425329950,-3040248800,23.24,0.36,0.0,2408.72998046875,4258.18994140625,13219.830078125,3406.97998046875,,17485.98046875,30994.669921875
6,2023-10-10,43950,44100,43100,43400,282507,1.639344262295082,5615929800,-4827250,-2827789500,-2783313050,23.63,0.36,0.0,2402.580078125,4335.66015625,13484.240234375,3467.35009765625,3075.239990234375,17664.73046875,31746.529296875
7,2023-10-11,44100,44100,43450,43500,171446,0.2304147465437788,3112901650,0,-990590500,-2122311150,23.68,0.37,0.0,2450.080078125,4358.240234375,13562.83984375,3512.070068359375,3078.9560546875,17893.099609375,31936.509765625
8,2023-10-12,44000,44600,43450,44600,196913,2.528735632183908,2443889600,-8493400,-2080546700,-354849500,24.28,0.37,0.0,2479.820068359375,4376.9501953125,13659.6796875,3537.830078125,3107.90087890625,18238.2109375,32494.66015625
9,2023-10-13,43600,44950,43550,44650,175146,0.11210762331838565,1176709950,-162283200,-1473816800,459390050,24.31,0.38,0.0,2456.14990234375,4349.60986328125,13574.2197265625,3548.6201171875,3088.10009765625,17813.44921875,32315.990234375
