,date,open,high,low,close,volume,chg_pct,inst_sum,inst_ext,retail,foreign,per,pbr,div,KOSPI,SP500_US(-1),NASDAQ_US(-1),SOX_US(-1),SHANGHAI,HANGSENG,NIKKEI
0,2023-09-25,108400,109200,107800,108900,194472,1.0204081632653061,1573208100,-210436800,-4659479200,3296707900,8.74,0.67,2.11,2495.760009765625,,,,3115.60693359375,17729.2890625,32678.619140625
1,2023-09-26,108200,109400,107300,107800,169512,-1.0101010101010102,-5386578700,-535527300,43469100,5878636900,8.65,0.66,2.13,2462.969970703125,4337.43994140625,13271.3203125,3389.4599609375,3102.27294921875,17466.900390625,32315.05078125
2,2023-09-27,107600,108000,106900,107600,128325,-0.1855287569573284,-3318891600,-111675700,-2574618700,6005186000,8.64,0.66,2.14,2465.070068359375,4273.52978515625,13063.6103515625,3329.6201171875,3107.31591796875,17611.869140625,32371.900390625
3,2023-10-04,106500,106700,104700,106200,278281,-1.3011152416356877,2013415400,38135700,102930900,-2154482000,8.52,0.65,2.17,2405.68994140625,4229.4501953125,13059.4697265625,3376.580078125,,17195.83984375,30526.880859375
4,2023-10-05,106300,106400,104600,104700,177201,-1.4124293785310735,2558405700,-50265000,1566987600,-4075128300,8.4,0.64,2.2,2403.60009765625,4263.75,13236.009765625,3424.919921875,,17213.869140625,31075.359375
5,2023-10-06,104700,105600,104600,104700,146822,0.0,-1644187300,160548700,-1118141500,2601780100,8.4,0.64,2.2,2408.72998046875,4258.18994140625,13219.830078125,3406.97998046875,,17485.98046875,30994.669921875
6,2023-10-10,106900,108300,105900,106400,241550,1.6236867239732569,5394928100,-213469700,-6462471800,1281013400,8.54,0.65,2.16,2402.580078125,4335.66015625,13484.240234375,3467.35009765625,3075.239990234375,17664.73046875,31746.529296875
7,2023-10-11,107100,107600,106000,106800,158710,0.37593984962406013,4191451500,-36434800,-2049315700,-2105701000,8.57,0.66,2.15,2450.080078125,4358.240234375,13562.83984375,3512.070068359375,3078.9560546875,17893.099609375,31936.509765625
8,2023-10-12,107800,107900,106900,107900,179370,1.0299625468164793,2986843300,-32750700,-2660213900,-293878700,8.66,0.66,2.13,2479.820068359375,4376.9501953125,13659.6796875,3537.830078125,3107.90087890625,18238.2109375,32494.66015625
9,2023-10-13,106900,108200,106800,107800,122309,-0.09267840593141798,1068703900,-55865600,-2388858600,1376020300,8.65,0.66,2.13,2456.14990234375,4349.60986328125,13574.2197265625,3548.6201171875,3088.10009765625,17813.44921875,32315.990234375
10,2023-10-16,107400,107800,106500,106900,113059,-0.8348794063079777,1931708000,-109546100,-666360000,-1155801900,8.58,0.66,2.15,2436.239990234375,4327.77978515625,13407.23046875,3452.969970703125,3073.81298828125,17640.359375,31659.029296875
