,date,open,high,low,close,volume,chg_pct,inst_sum,inst_ext,retail,foreign,per,pbr,div,KOSPI,SP500_US(-1),NASDAQ_US(-1),SOX_US(-1),SHANGHAI,HANGSENG,NIKKEI
0,2023-09-25,203000,204000,200000,202500,67711,-0.24630541871921183,-2694653500,1200000,1006089000,1687364500,4.91,0.48,1.85,2495.760009765625,,,,3115.60693359375,17729.2890625,32678.619140625
1,2023-09-26,201000,201500,189000,189700,124089,-6.320987654320988,-4722350000,18922500,12367249000,-7663821500,4.6,0.45,1.98,2462.969970703125,4337.43994140625,13271.3203125,3389.4599609375,3102.27294921875,17466.900390625,32315.05078125
2,2023-09-27,189300,191300,188300,190100,26591,0.21085925144965736,-132703100,54450300,62070700,16182100,4.6,0.45,1.97,2465.070068359375,4273.52978515625,13063.6103515625,3329.6201171875,3107.31591796875,17611.869140625,32371.900390625
3,2023-10-04,188000,190000,183300,185000,68721,-2.6827985270910046,-635611000,140292300,-2198675400,2693994100,4.48,0.44,2.03,2405.68994140625,4229.4501953125,13059.4697265625,3376.580078125,,17195.83984375,30526.880859375
4,2023-10-05,185200,186700,182400,183100,34817,-1.027027027027027,-447416700,68360800,1413092800,-1034036900,4.44,0.44,2.05,2403.60009765625,4263.75,13236.009765625,3424.919921875,,17213.869140625,31075.359375
5,2023-10-06,183300,186000,180400,181600,38710,-0.8192244675040962,-1838271000,11235600,2780396700,-953361300,4.4,0.43,2.06,2408.72998046875,4258.18994140625,13219.830078125,3406.97998046875,,17485.98046875,30994.669921875
6,2023-10-10,182200,184200,177100,177800,64999,-2.092511013215859,-1809375900,30553400,2917273700,-1138451200,4.31,0.43,2.11,2402.580078125,4335.66015625,13484.240234375,3467.35009765625,3075.239990234375,17664.73046875,31746.529296875
7,2023-10-11,178000,180700,177000,178400,50726,0.3374578177727784,-1136206600,2859300,638689900,494657400,4.32,0.43,2.1,2450.080078125,4358.240234375,13562.83984375,3512.070068359375,3078.9560546875,17893.099609375,31936.509765625
8,2023-10-12,179500,180500,177900,178800,29325,0.2242152466367713,-500545300,42011900,782290700,-323757300,4.33,0.43,2.1,2479.820068359375,4376.9501953125,13659.6796875,3537.830078125,3107.90087890625,18238.2109375,32494.66015625
9,2023-10-13,178000,179600,177900,178900,25738,0.05592841163310962,-1762910900,58520500,752664400,951726000,4.33,0.43,2.1,2456.14990234375,4349.60986328125,13574.2197265625,3548.6201171875,3088.10009765625,17813.44921875,32315.990234375
10,2023-10-16,178200,178300,175300,177900,42228,-0.5589714924538848,-1403459000,2226500,2413104500,-1011872000,4.31,0.43,2.11,2436.239990234375,4327.77978515625,13407.23046875,3452.969970703125,3073.81298828125,17640.359375,31659.029296875
11,2023-10-17,178000,180600,177000,179300,35227,0.7869589657110737,-546802500,-6772900,922116000,-368540600,4.34,0.43,2.09,2460.169921875,4373.6298828125,13567.98046875,3502.510009765625,3083.5,17773.33984375,32040.2890625
12,2023-10-18,179300,180000,178000,178400,32474,-0.501952035694367,-1002577700,1785300,1229671300,-228878900,4.32,0.43,2.1,2462.60009765625,4373.2001953125,13533.75,3474.659912109375,3058.7099609375,17732.51953125,32042.25
13,2023-10-19,178300,178300,173300,173400,50575,-2.8026905829596416,-1348156200,-39749600,3259615700,-1871709900,4.2,0.41,2.16,2415.800048828125,4314.60009765625,13314.2998046875,3413.449951171875,3005.39306640625,17295.890625,31430.619140625
14,2023-10-20,172000,172800,169700,171100,44350,-1.3264129181084199,44874300,30918400,-673562000,597769300,4.14,0.41,2.19,2375.0,4278.0,13186.1796875,3367.77001953125,2983.06005859375,17172.130859375,31259.359375
15,2023-10-23,171100,172500,169500,171000,24011,-0.058445353594389245,101372100,-8114600,144098300,-237355800,4.14,0.41,2.19,2357.02001953125,4224.16015625,12983.8095703125,3316.139892578125,2939.291015625,,30999.55078125
16,2023-10-24,172400,173100,167000,172000,44747,0.5847953216374269,-1477930900,13109800,1621444600,-156623500,4.17,0.41,2.18,2383.510009765625,4217.0400390625,13018.330078125,3298.5400390625,2962.243896484375,16991.529296875,31062.349609375
17,2023-10-25,172000,177000,171500,175800,41191,2.2093023255813953,-4098600,4561200,-1999473100,1999010500,4.26,0.42,2.13,2363.169921875,4247.68017578125,13139.8701171875,3343.93994140625,2974.114013671875,17085.330078125,31269.919921875
18,2023-10-26,175200,175200,169700,171200,43031,-2.6166097838452784,-1954771600,6344600,1627787400,320639600,4.15,0.41,2.19,2299.080078125,4186.77001953125,12821.2197265625,3205.840087890625,2988.299072265625,17044.609375,30601.779296875
19,2023-10-27,172800,173200,170500,171700,28699,0.29205607476635514,-601462100,1708900,-421462300,1021215500,4.16,0.41,2.18,2302.81005859375,4137.22998046875,12595.6103515625,3188.419921875,3017.783935546875,17398.73046875,30991.689453125
20,2023-10-30,169100,169500,160500,166500,94417,-3.0285381479324402,-2950480500,102073200,2370494500,477912800,4.03,0.4,2.25,2310.550048828125,4117.3701171875,12643.009765625,3227.090087890625,3021.552978515625,17406.359375,30696.9609375
21,2023-10-31,168900,171700,168000,168800,46636,1.3813813813813813,-1942590000,-14884200,-593935900,2551410100,4.09,0.4,2.22,2277.989990234375,4166.81982421875,12789.48046875,3185.179931640625,3018.77099609375,17112.48046875,30858.849609375
22,2023-11-01,168900,171100,168200,170400,32971,0.9478672985781991,-1257056900,504800,43321500,1213230600,4.13,0.41,2.2,2301.56005859375,4193.7998046875,12851.240234375,3215.889892578125,3023.076904296875,17101.779296875,31601.650390625
23,2023-11-02,170400,171400,163700,164800,94234,-3.286384976525822,-5069274400,222271000,8731316200,-3884312800,3.99,0.39,2.28,2343.1201171875,4237.85986328125,13061.4697265625,3290.949951171875,3009.406005859375,17230.58984375,31949.890625
24,2023-11-03,165800,168400,164800,167800,67745,1.820388349514563,-2885545200,2155100,-1304884400,4188274500,4.06,0.4,2.23,2368.340087890625,4317.77978515625,13294.1904296875,3368.5400390625,3030.798095703125,17664.119140625,
25,2023-11-06,171500,173200,169300,173200,83535,3.2181168057210967,-1699450100,-14412000,395275400,1318586700,4.2,0.41,2.17,2502.3701171875,4358.33984375,13478.2802734375,3454.570068359375,3058.410888671875,17966.58984375,32708.48046875
26,2023-11-07,172800,175900,171500,173200,57142,0.0,1165297700,-76959400,-509485200,-578853100,4.2,0.41,2.17,2443.9599609375,4365.97998046875,13518.7802734375,3444.889892578125,3057.27001953125,17670.16015625,32271.8203125
27,2023-11-08,174400,175800,172000,173700,64099,0.28868360277136257,-997181900,221574600,610851200,164756100,4.21,0.42,2.16,2421.6201171875,4378.3798828125,13639.8603515625,3471.4599609375,3052.373046875,17568.4609375,32166.48046875
28,2023-11-09,173700,175000,171100,172300,49923,-0.8059873344847437,-2631821500,2935700,755262600,1873623200,4.17,0.41,2.18,2427.080078125,4382.77978515625,13650.41015625,3472.669921875,3053.279052734375,17511.2890625,32646.4609375
29,2023-11-10,170700,172700,169500,170700,25032,-0.9286128845037724,-293700900,-43982900,1241893000,-904209200,4.13,0.41,2.2,2409.659912109375,4347.35009765625,13521.4501953125,3452.340087890625,3038.969970703125,17203.259765625,32568.109375
30,2023-11-13,171900,171900,168500,169600,29744,-0.6444053895723492,-1315416800,-5270700,1717376900,-396689400,4.11,0.41,2.21,2403.760009765625,4415.240234375,13798.1103515625,3591.739990234375,3046.532958984375,17426.2109375,32585.109375
