,date,open,high,low,close,volume,chg_pct,inst_sum,inst_ext,retail,foreign,per,pbr,div,KOSPI,SP500_US(-1),NASDAQ_US(-1),SOX_US(-1),SHANGHAI,HANGSENG,NIKKEI
0,2023-09-25,25050,25050,24550,24900,2925,-0.4,689000,-2609500,6901000,-4980500,0.0,0.17,0.0,2495.760009765625,,,,3115.60693359375,17729.2890625,32678.619140625
1,2023-09-26,25100,25100,24350,24550,3690,-1.4056224899598393,579650,-37171100,38334200,-1742750,0.0,0.17,0.0,2462.969970703125,4337.43994140625,13271.3203125,3389.4599609375,3102.27294921875,17466.900390625,32315.05078125
2,2023-09-27,24600,24650,24400,24650,2462,0.40733197556008144,1671400,0,-4824050,3152650,0.0,0.17,0.0,2465.070068359375,4273.52978515625,13063.6103515625,3329.6201171875,3107.31591796875,17611.869140625,32371.900390625
3,2023-10-04,24750,24750,24200,24200,7565,-1.8255578093306288,7364100,0,2828700,-10192800,0.0,0.17,0.0,2405.68994140625,4229.4501953125,13059.4697265625,3376.580078125,,17195.83984375,30526.880859375
4,2023-10-05,24000,24350,24000,24200,1524,0.0,-2345950,0,2950800,-604850,0.0,0.17,0.0,2403.60009765625,4263.75,13236.009765625,3424.919921875,,17213.869140625,31075.359375
5,2023-10-06,24050,24400,24050,24350,1824,0.6198347107438017,-217500,0,6215800,-5998300,0.0,0.17,0.0,2408.72998046875,4258.18994140625,13219.830078125,3406.97998046875,,17485.98046875,30994.669921875
6,2023-10-10,24350,24500,23900,24150,3958,-0.8213552361396305,-13659450,0,9647150,4012300,0.0,0.17,0.0,2402.580078125,4335.66015625,13484.240234375,3467.35009765625,3075.239990234375,17664.73046875,31746.529296875
7,2023-10-11,24500,24500,24050,24100,5733,-0.2070393374741201,304100,-17629800,17836650,-510950,0.0,0.17,0.0,2450.080078125,4358.240234375,13562.83984375,3512.070068359375,3078.9560546875,17893.099609375,31936.509765625
8,2023-10-12,24300,24550,24150,24500,1868,1.6597510373443984,-450800,27692950,-29285000,2042850,0.0,0.17,0.0,2479.820068359375,4376.9501953125,13659.6796875,3537.830078125,3107.90087890625,18238.2109375,32494.66015625
9,2023-10-13,24550,24550,24200,24250,901,-1.0204081632653061,-6148150,0,4156550,1991600,0.0,0.17,0.0,2456.14990234375,4349.60986328125,13574.2197265625,3548.6201171875,3088.10009765625,17813.44921875,32315.990234375
10,2023-10-16,24450,24450,24150,24300,1581,0.2061855670103093,-579650,0,628000,-48350,0.0,0.17,0.0,2436.239990234375,4327.77978515625,13407.23046875,3452.969970703125,3073.81298828125,17640.359375,31659.029296875
