,date,open,high,low,close,volume,chg_pct,inst_sum,inst_ext,retail,foreign,per,pbr,div,KOSPI,SP500_US(-1),NASDAQ_US(-1),SOX_US(-1),SHANGHAI,HANGSENG,NIKKEI
0,2023-09-25,285999,290414,283055,287471,29695,1.3838975549027144,2999901000,3848000,-2827264500,-176484500,44.07,4.18,0.17,2495.760009765625,,,,3115.60693359375,17729.2890625,32678.619140625
1,2023-09-26,285999,293358,285018,287962,33839,0.17079983720096983,2557463000,-1767500,-1745802000,-809893500,44.15,4.19,0.17,2462.969970703125,4337.43994140625,13271.3203125,3389.4599609375,3102.27294921875,17466.900390625,32315.05078125
2,2023-09-27,291395,296791,289433,293358,46636,1.8738583563109021,4248642500,16946500,-2776706500,-1488882500,44.98,4.26,0.17,2465.070068359375,4273.52978515625,13063.6103515625,3329.6201171875,3107.31591796875,17611.869140625,32371.900390625
3,2023-10-04,287962,288452,276188,283547,58043,-3.344377859134573,-400517500,33111000,2276826500,-1909420000,43.47,4.12,0.17,2405.68994140625,4229.4501953125,13059.4697265625,3376.580078125,,17195.83984375,30526.880859375
4,2023-10-05,285999,293848,284037,284528,33829,0.3459743887256786,-136976500,9099500,-246819500,374696500,43.62,4.14,0.17,2403.60009765625,4263.75,13236.009765625,3424.919921875,,17213.869140625,31075.359375
5,2023-10-06,290414,306112,289433,305622,96641,7.413681606028229,8515729500,-187858000,-11646570000,3318698500,46.86,4.44,0.16,2408.72998046875,4258.18994140625,13219.830078125,3406.97998046875,,17485.98046875,30994.669921875
6,2023-10-10,309056,319848,304640,312490,123444,2.2472204226135553,12084653000,624045500,-3210815500,-9497883000,47.91,4.54,0.16,2402.580078125,4335.66015625,13484.240234375,3467.35009765625,3075.239990234375,17664.73046875,31746.529296875
7,2023-10-11,315924,316905,306113,312000,55348,-0.15680501776056832,328705500,133812500,593393500,-1055911500,47.83,4.53,0.16,2450.080078125,4358.240234375,13562.83984375,3512.070068359375,3078.9560546875,17893.099609375,31936.509765625
8,2023-10-12,320339,321320,309056,313962,66202,0.6288461538461538,-1011553500,104934000,-125112000,1031731500,48.13,4.56,0.16,2479.820068359375,4376.9501953125,13659.6796875,3537.830078125,3107.90087890625,18238.2109375,32494.66015625
9,2023-10-13,312981,313471,306113,308566,41195,-1.7186793306196293,-462357500,-91506500,-1754062500,2307926500,47.31,4.48,0.16,2456.14990234375,4349.60986328125,13574.2197265625,3548.6201171875,3088.10009765625,17813.44921875,32315.990234375
10,2023-10-16,305131,308565,302679,306113,29752,-0.7949676892463848,-159147000,120090500,-183821500,222878000,46.93,4.45,0.16,2436.239990234375,4327.77978515625,13407.23046875,3452.969970703125,3073.81298828125,17640.359375,31659.029296875
11,2023-10-17,309055,310037,296791,298754,42312,-2.404014203905094,-2189613500,-67989000,3326657500,-1069055000,45.8,4.34,0.16,2460.169921875,4373.6298828125,13567.98046875,3502.510009765625,3083.5,17773.33984375,32040.2890625
12,2023-10-18,299244,301697,276188,276188,151124,-7.553371670337468,-10620029000,-558989500,17662909500,-6483891000,42.34,4.01,0.18,2462.60009765625,4373.2001953125,13533.75,3474.659912109375,3058.7099609375,17732.51953125,32042.25
13,2023-10-19,275206,278150,269810,270301,73009,-2.1315191101713324,-4082474500,-27466500,5055321000,-945380000,41.44,3.93,0.18,2415.800048828125,4314.60009765625,13314.2998046875,3413.449951171875,3005.39306640625,17295.890625,31430.619140625
