,date,open,high,low,close,volume,chg_pct,inst_sum,inst_ext,retail,foreign,per,pbr,div,KOSPI,SP500_US(-1),NASDAQ_US(-1),SOX_US(-1),SHANGHAI,HANGSENG,NIKKEI
0,2023-09-25,84400,88200,84400,87100,427890,2.833530106257379,1659112400,-38394800,-5910500700,4289783100,0.0,6.11,0.23,2495.760009765625,,,,3115.60693359375,17729.2890625,32678.619140625
1,2023-09-26,86400,86400,82600,83300,468760,-4.3628013777267505,-7731615500,-179642000,6764102200,1147155300,0.0,5.84,0.24,2462.969970703125,4337.43994140625,13271.3203125,3389.4599609375,3102.27294921875,17466.900390625,32315.05078125
2,2023-09-27,82700,85000,82500,84700,273661,1.680672268907563,6160926700,145594000,-3432041600,-2874479100,0.0,5.94,0.24,2465.070068359375,4273.52978515625,13063.6103515625,3329.6201171875,3107.31591796875,17611.869140625,32371.900390625
3,2023-10-04,83200,83400,78800,79100,676659,-6.6115702479338845,-13645494800,-17923800,9038939400,4624479200,0.0,5.55,0.25,2405.68994140625,4229.4501953125,13059.4697265625,3376.580078125,,17195.83984375,30526.880859375
4,2023-10-05,79600,80900,78500,78600,251774,-0.6321112515802781,2124420300,-13227400,-1920145400,-191047500,0.0,5.51,0.25,2403.60009765625,4263.75,13236.009765625,3424.919921875,,17213.869140625,31075.359375
5,2023-10-06,78400,79400,76800,77300,372039,-1.653944020356234,-7152601100,-65019800,3398322700,3819298200,0.0,5.42,0.26,2408.72998046875,4258.18994140625,13219.830078125,3406.97998046875,,17485.98046875,30994.669921875
6,2023-10-10,77000,77100,72200,72500,921503,-6.2095730918499354,-12391745200,473058100,16584497700,-4665810600,0.0,5.08,0.28,2402.580078125,4335.66015625,13484.240234375,3467.35009765625,3075.239990234375,17664.73046875,31746.529296875
7,2023-10-11,73700,74000,72600,73000,469562,0.6896551724137931,-1676037500,-67615400,8249472900,-6505820000,0.0,5.12,0.27,2450.080078125,4358.240234375,13562.83984375,3512.070068359375,3078.9560546875,17893.099609375,31936.509765625
8,2023-10-12,73300,74000,72600,72900,465477,-0.136986301369863,-11925642600,-20716700,3380063100,8566296200,0.0,5.11,0.27,2479.820068359375,4376.9501953125,13659.6796875,3537.830078125,3107.90087890625,18238.2109375,32494.66015625
9,2023-10-13,73200,73300,71500,72000,363394,-1.2345679012345678,-3663137800,166639300,10350753500,-6854255000,0.0,5.05,0.28,2456.14990234375,4349.60986328125,13574.2197265625,3548.6201171875,3088.10009765625,17813.44921875,32315.990234375
10,2023-10-16,71300,71400,69800,70400,482113,-2.2222222222222223,-1043157400,-262798900,4745027200,-3439070900,0.0,4.94,0.28,2436.239990234375,4327.77978515625,13407.23046875,3452.969970703125,3073.81298828125,17640.359375,31659.029296875
11,2023-10-17,70700,71600,70400,70500,279338,0.14204545454545456,506678500,-17712100,3599894100,-4088860500,0.0,4.94,0.28,2460.169921875,4373.6298828125,13567.98046875,3502.510009765625,3083.5,17773.33984375,32040.2890625
12,2023-10-18,70900,71000,69700,69800,326701,-0.9929078014184398,-2451800,-320767000,8214618600,-7891399800,0.0,4.9,0.29,2462.60009765625,4373.2001953125,13533.75,3474.659912109375,3058.7099609375,17732.51953125,32042.25
13,2023-10-19,69300,69400,68400,68600,390093,-1.7191977077363898,-1063089100,-4959600,1836388400,-768339700,0.0,4.81,0.29,2415.800048828125,4314.60009765625,13314.2998046875,3413.449951171875,3005.39306640625,17295.890625,31430.619140625
14,2023-10-20,67800,68400,66800,67900,378571,-1.0204081632653061,-2871083100,38074700,7243226900,-4410218500,0.0,4.76,0.29,2375.0,4278.0,13186.1796875,3367.77001953125,2983.06005859375,17172.130859375,31259.359375
15,2023-10-23,67900,69800,67500,69400,271173,2.2091310751104567,3461693200,-30614600,-876028900,-2555049700,0.0,4.87,0.29,2357.02001953125,4224.16015625,12983.8095703125,3316.139892578125,2939.291015625,,30999.55078125
16,2023-10-24,69900,70800,68500,70600,321340,1.729106628242075,5994971300,-8204100,-299915500,-5686851700,0.0,4.95,0.28,2383.510009765625,4217.0400390625,13018.330078125,3298.5400390625,2962.243896484375,16991.529296875,31062.349609375
