,date,open,high,low,close,volume,chg_pct,inst_sum,inst_ext,retail,foreign,per,pbr,div,KOSPI,SP500_US(-1),NASDAQ_US(-1),SOX_US(-1),SHANGHAI,HANGSENG,NIKKEI
0,2023-10-11,61500,61700,60900,61400,181339,0.4909983633387889,1297286800,197540100,1352084500,-2846911400,3.08,0.58,7.49,2450.080078125,,,,3078.9560546875,17893.099609375,31936.509765625
1,2023-10-12,61400,61600,60900,61200,256563,-0.32573289902280134,-4060226100,-127622200,4008524200,179324100,3.07,0.58,7.52,2479.820068359375,4376.9501953125,13659.6796875,3537.830078125,3107.90087890625,18238.2109375,32494.66015625
2,2023-10-13,60600,61200,60400,60800,133155,-0.6535947712418301,-1463521300,106423000,2740004000,-1382905700,3.05,0.57,7.57,2456.14990234375,4349.60986328125,13574.2197265625,3548.6201171875,3088.10009765625,17813.44921875,32315.990234375
3,2023-10-16,61200,61700,60700,60900,168804,0.1644736842105263,1765586200,57947600,1746042900,-3569576700,3.06,0.57,7.55,2436.239990234375,4327.77978515625,13407.23046875,3452.969970703125,3073.81298828125,17640.359375,31659.029296875
4,2023-10-17,61400,61800,60700,60800,122609,-0.16420361247947454,-153959100,70550300,2971660700,-2888251900,3.05,0.57,7.57,2460.169921875,4373.6298828125,13567.98046875,3502.510009765625,3083.5,17773.33984375,32040.2890625
5,2023-10-18,61200,62800,61200,62600,236620,2.9605263157894735,3666161400,115689900,-3974358600,192507300,3.14,0.59,7.35,2462.60009765625,4373.2001953125,13533.75,3474.659912109375,3058.7099609375,17732.51953125,32042.25
6,2023-10-19,62000,62400,60700,61100,206646,-2.3961661341853033,777514100,104046600,3611550300,-4493111000,3.07,0.58,7.53,2415.800048828125,4314.60009765625,13314.2998046875,3413.449951171875,3005.39306640625,17295.890625,31430.619140625
7,2023-10-20,61200,61300,60300,60500,155904,-0.9819967266775778,-427476600,184971900,3479641500,-3237136800,3.04,0.57,7.6,2375.0,4278.0,13186.1796875,3367.77001953125,2983.06005859375,17172.130859375,31259.359375
8,2023-10-23,60100,60500,59600,59700,158373,-1.322314049586777,551373700,199750100,3356832000,-4107955800,3.0,0.56,7.71,2357.02001953125,4224.16015625,12983.8095703125,3316.139892578125,2939.291015625,,30999.55078125
9,2023-10-24,60200,60300,58700,59400,183855,-0.5025125628140703,-399553000,219321400,6502991200,-6322759600,2.98,0.56,7.74,2383.510009765625,4217.0400390625,13018.330078125,3298.5400390625,2962.243896484375,16991.529296875,31062.349609375
10,2023-10-25,59500,61100,59400,60800,152887,2.356902356902357,3433873100,72556100,-837847800,-2668581400,3.05,0.57,7.57,2363.169921875,4247.68017578125,13139.8701171875,3343.93994140625,2974.114013671875,17085.330078125,31269.919921875
11,2023-10-26,60800,60900,58700,59000,266550,-2.9605263157894735,2130223900,-153911600,1360348500,-3336660800,2.96,0.56,7.8,2299.080078125,4186.77001953125,12821.2197265625,3205.840087890625,2988.299072265625,17044.609375,30601.779296875
12,2023-10-27,59000,59800,58700,58700,156659,-0.5084745762711864,1798252600,-73427100,1151097700,-2875923200,2.94,0.55,7.84,2302.81005859375,4137.22998046875,12595.6103515625,3188.419921875,3017.783935546875,17398.73046875,30991.689453125
13,2023-10-30,58900,59100,58200,58800,151922,0.17035775127768313,-510995900,10562300,2487173800,-1986740200,2.95,0.56,7.82,2310.550048828125,4117.3701171875,12643.009765625,3227.090087890625,3021.552978515625,17406.359375,30696.9609375
14,2023-10-31,59300,60000,56900,57400,250319,-2.380952380952381,-1073889100,85757900,4936701300,-3948570100,2.88,0.54,8.01,2277.989990234375,4166.81982421875,12789.48046875,3185.179931640625,3018.77099609375,17112.48046875,30858.849609375
15,2023-11-01,57900,58000,57300,57500,108316,0.17421602787456447,23582000,127019800,2047268500,-2197870300,2.88,0.54,8.0,2301.56005859375,4193.7998046875,12851.240234375,3215.889892578125,3023.076904296875,17101.779296875,31601.650390625
16,2023-11-02,58400,59100,58100,58300,124024,1.391304347826087,-418909100,3706600,974665200,-559462700,2.92,0.55,7.89,2343.1201171875,4237.85986328125,13061.4697265625,3290.949951171875,3009.406005859375,17230.58984375,31949.890625
17,2023-11-03,59000,59200,58400,59000,107051,1.2006861063464835,1472636200,17527800,556541100,-2046705100,2.96,0.56,7.8,2368.340087890625,4317.77978515625,13294.1904296875,3368.5400390625,3030.798095703125,17664.119140625,
18,2023-11-06,59700,60500,59100,60500,201265,2.5423728813559325,-17420500,-105173100,376404600,-253811000,3.04,0.57,7.6,2502.3701171875,4358.33984375,13478.2802734375,3454.570068359375,3058.410888671875,17966.58984375,32708.48046875
19,2023-11-07,60000,60400,59200,59600,112881,-1.487603305785124,-799276200,-535800,467238900,332573100,2.99,0.56,7.72,2443.9599609375,4365.97998046875,13518.7802734375,3444.889892578125,3057.27001953125,17670.16015625,32271.8203125
20,2023-11-08,59500,59800,58500,59100,188029,-0.8389261744966443,147068900,-395980300,2873560400,-2624649000,2.96,0.56,7.78,2421.6201171875,4378.3798828125,13639.8603515625,3471.4599609375,3052.373046875,17568.4609375,32166.48046875
21,2023-11-09,58700,59800,58700,59200,126628,0.1692047377326565,1178770600,40326100,-477587400,-741509300,2.97,0.56,7.77,2427.080078125,4382.77978515625,13650.41015625,3472.669921875,3053.279052734375,17511.2890625,32646.4609375
22,2023-11-10,58800,59400,58700,59100,65615,-0.16891891891891891,-823065400,181261800,1063246500,-421442900,2.96,0.56,7.78,2409.659912109375,4347.35009765625,13521.4501953125,3452.340087890625,3038.969970703125,17203.259765625,32568.109375
23,2023-11-13,59600,59600,58000,58100,213645,-1.6920473773265652,-3481235300,214108900,5460521400,-2193395000,2.91,0.55,7.92,2403.760009765625,4415.240234375,13798.1103515625,3591.739990234375,3046.532958984375,17426.2109375,32585.109375
24,2023-11-14,58600,59200,58300,58700,140023,1.0327022375215147,-632809100,968636300,779674800,-1115502000,2.94,0.55,7.84,2433.25,4411.5498046875,13767.740234375,3556.75,3056.070068359375,17396.859375,32695.9296875
25,2023-11-15,59600,60200,59100,60200,164081,2.555366269165247,2439005500,-100739700,-3231496600,893230800,3.02,0.57,7.64,2486.669921875,4495.7001953125,14094.3798828125,3685.570068359375,3072.8349609375,18079.0,33519.69921875
26,2023-11-16,60200,60200,59200,59700,122733,-0.8305647840531563,-1797768200,1003672600,2122094300,-1327998700,3.0,0.56,7.71,2488.179931640625,4502.8798828125,14103.83984375,3712.090087890625,3050.926025390625,17832.8203125,33424.41015625
27,2023-11-17,59500,59600,59100,59300,145056,-0.6700167504187605,-3439358800,1550527100,2759264400,-870432700,2.97,0.56,7.76,2469.85009765625,4508.240234375,14113.669921875,3724.10009765625,3054.3701171875,17454.189453125,33585.19921875
28,2023-11-20,59400,60500,59300,60200,112164,1.5177065767284992,333230900,-62125900,-1792562300,1521457300,3.02,0.57,7.64,2491.199951171875,4514.02001953125,14125.48046875,3748.64990234375,3068.319091796875,17778.0703125,33388.03125
29,2023-11-21,60500,60800,59800,60200,149623,0.0,735603200,117288900,-954741700,101849600,3.02,0.57,7.64,2510.419921875,4547.3798828125,14284.5302734375,3805.81005859375,3067.93310546875,17733.890625,33354.140625
30,2023-11-22,59900,61300,59700,61000,163218,1.3289036544850499,487307900,595495800,-1860689000,777885300,3.06,0.58,7.54,2511.699951171875,4538.18994140625,14199.98046875,3732.7900390625,3043.611083984375,17734.599609375,33451.828125
31,2023-11-23,61300,61900,60800,60900,141224,-0.16393442622950818,-1368548100,1661132700,-117764300,-174820300,3.06,0.57,7.55,2514.9599609375,4556.6201171875,14265.8603515625,3744.9599609375,3061.85595703125,17910.83984375,
32,2023-11-24,60800,61300,60700,60900,90527,0.0,713977000,1079304100,-465606400,-1327674700,3.06,0.57,7.55,2496.6298828125,,,,3040.971923828125,17559.419921875,33625.53125
33,2023-11-27,61200,62500,60800,62200,240402,2.134646962233169,6551008600,-516410700,-5462878500,-571719400,3.12,0.59,7.4,2495.659912109375,4559.33984375,14250.849609375,3747.929931640625,3031.699951171875,17525.060546875,33447.671875
34,2023-11-28,62600,62600,61000,61500,182939,-1.1254019292604502,2436023500,13953000,934677800,-3384654300,3.09,0.58,7.48,2521.760009765625,4550.43017578125,14241.01953125,3739.31005859375,3038.550048828125,17354.140625,33408.390625
35,2023-11-29,61500,61800,60800,61000,189907,-0.8130081300813009,34014900,-269094200,2032680000,-1797600700,3.06,0.58,7.54,2519.81005859375,4554.89013671875,14281.759765625,3718.35009765625,3021.68701171875,16993.439453125,33321.21875
36,2023-11-30,61000,61100,60100,60300,554867,-1.1475409836065573,3593211800,70329000,6486392800,-10149933600,3.03,0.57,7.63,2535.2900390625,4550.580078125,14258.490234375,3753.360107421875,3029.673095703125,17042.880859375,33486.890625
