,date,open,high,low,close,volume,chg_pct,inst_sum,inst_ext,retail,foreign,per,pbr,div,KOSPI,SP500_US(-1),NASDAQ_US(-1),SOX_US(-1),SHANGHAI,HANGSENG,NIKKEI
0,2023-10-11,240000,247000,240000,242000,20509,1.4675052410901468,-151065500,0,-954811000,1105876500,53.02,0.35,3.31,2450.080078125,,,,3078.9560546875,17893.099609375,31936.509765625
1,2023-10-12,243500,245000,233500,237000,40616,-2.066115702479339,-2647508500,2486500,98198500,2546823500,51.93,0.34,3.38,2479.820068359375,4376.9501953125,13659.6796875,3537.830078125,3107.90087890625,18238.2109375,32494.66015625
2,2023-10-13,235000,237000,233000,233500,10593,-1.4767932489451476,-16050500,-103981000,-90261000,210292500,51.16,0.34,3.43,2456.14990234375,4349.60986328125,13574.2197265625,3548.6201171875,3088.10009765625,17813.44921875,32315.990234375
3,2023-10-16,232500,237000,231000,235000,16364,0.6423982869379015,68217500,3063000,-549596000,478315500,51.49,0.34,3.4,2436.239990234375,4327.77978515625,13407.23046875,3452.969970703125,3073.81298828125,17640.359375,31659.029296875
4,2023-10-17,236500,236500,230500,233500,11271,-0.6382978723404255,58648000,469500,93376500,-152494000,51.16,0.34,3.43,2460.169921875,4373.6298828125,13567.98046875,3502.510009765625,3083.5,17773.33984375,32040.2890625
5,2023-10-18,233500,236500,232500,232500,10014,-0.4282655246252677,575690500,704500,-36392500,-540002500,50.94,0.33,3.44,2462.60009765625,4373.2001953125,13533.75,3474.659912109375,3058.7099609375,17732.51953125,32042.25
6,2023-10-19,230500,232000,227500,228500,14652,-1.7204301075268817,302153000,7556000,-547884500,238175500,50.07,0.33,3.5,2415.800048828125,4314.60009765625,13314.2998046875,3413.449951171875,3005.39306640625,17295.890625,31430.619140625
7,2023-10-20,226500,228000,222500,225500,13519,-1.312910284463895,448885000,-42890000,-170923000,-235072000,49.41,0.32,3.55,2375.0,4278.0,13186.1796875,3367.77001953125,2983.06005859375,17172.130859375,31259.359375
8,2023-10-23,228500,228500,220500,224000,11288,-0.6651884700665188,-107314000,6193500,524151000,-423030500,49.08,0.32,3.57,2357.02001953125,4224.16015625,12983.8095703125,3316.139892578125,2939.291015625,,30999.55078125
9,2023-10-24,228000,228000,219500,224000,10393,0.0,146592500,-64718500,395126500,-477000500,49.08,0.32,3.57,2383.510009765625,4217.0400390625,13018.330078125,3298.5400390625,2962.243896484375,16991.529296875,31062.349609375
10,2023-10-25,224000,233000,224000,230000,14483,2.6785714285714284,1068039000,5281500,-810019500,-263301000,50.39,0.33,3.48,2363.169921875,4247.68017578125,13139.8701171875,3343.93994140625,2974.114013671875,17085.330078125,31269.919921875
11,2023-10-26,224500,230500,221500,222500,12677,-3.260869565217391,249898000,-18712500,196160000,-427345500,48.75,0.32,3.6,2299.080078125,4186.77001953125,12821.2197265625,3205.840087890625,2988.299072265625,17044.609375,30601.779296875
12,2023-10-27,226500,229000,221000,224500,12846,0.8988764044943821,197138500,-40987500,-84049500,-72101500,49.19,0.32,3.56,2302.81005859375,4137.22998046875,12595.6103515625,3188.419921875,3017.783935546875,17398.73046875,30991.689453125
13,2023-10-30,224500,235000,223000,232500,18066,3.5634743875278394,1623157000,5070000,-694180000,-934047000,50.94,0.33,3.44,2310.550048828125,4117.3701171875,12643.009765625,3227.090087890625,3021.552978515625,17406.359375,30696.9609375
14,2023-10-31,234500,241000,232500,237500,24092,2.1505376344086025,1368427000,18364000,-815835500,-570955500,52.04,0.34,3.37,2277.989990234375,4166.81982421875,12789.48046875,3185.179931640625,3018.77099609375,17112.48046875,30858.849609375
15,2023-11-01,239500,242500,236000,238500,14916,0.42105263157894735,710119500,19163000,-319267500,-410015000,52.26,0.34,3.35,2301.56005859375,4193.7998046875,12851.240234375,3215.889892578125,3023.076904296875,17101.779296875,31601.650390625
16,2023-11-02,242500,243000,237500,242000,21664,1.4675052410901468,486771500,49658000,-361073500,-175356000,53.02,0.35,3.31,2343.1201171875,4237.85986328125,13061.4697265625,3290.949951171875,3009.406005859375,17230.58984375,31949.890625
17,2023-11-03,241000,246000,238500,240500,12825,-0.6198347107438017,676082500,42948500,-541426500,-177604500,52.7,0.35,3.33,2368.340087890625,4317.77978515625,13294.1904296875,3368.5400390625,3030.798095703125,17664.119140625,
18,2023-11-06,244500,250500,241500,250000,21089,3.9501039501039505,184977000,160184500,-1780647000,1435485500,54.78,0.36,3.2,2502.3701171875,4358.33984375,13478.2802734375,3454.570068359375,3058.410888671875,17966.58984375,32708.48046875
19,2023-11-07,245000,247000,238500,241000,21275,-3.5999999999999996,-165868000,16870500,693168000,-544170500,52.8,0.35,3.32,2443.9599609375,4365.97998046875,13518.7802734375,3444.889892578125,3057.27001953125,17670.16015625,32271.8203125
20,2023-11-08,243000,250000,241500,242000,14638,0.4149377593360996,147414500,12164000,-684649000,525070500,53.02,0.35,3.31,2421.6201171875,4378.3798828125,13639.8603515625,3471.4599609375,3052.373046875,17568.4609375,32166.48046875
21,2023-11-09,240000,248500,240000,244500,16604,1.0330578512396695,1428793000,18305500,-1163071000,-284027500,53.57,0.35,3.27,2427.080078125,4382.77978515625,13650.41015625,3472.669921875,3053.279052734375,17511.2890625,32646.4609375
22,2023-11-10,242500,246000,239000,239500,15138,-2.044989775051125,1369746500,-40976000,-607036500,-721734000,52.48,0.34,3.34,2409.659912109375,4347.35009765625,13521.4501953125,3452.340087890625,3038.969970703125,17203.259765625,32568.109375
23,2023-11-13,241500,243500,237000,240500,9342,0.41753653444676403,280613000,-65052000,-733513500,517952500,52.7,0.35,3.33,2403.760009765625,4415.240234375,13798.1103515625,3591.739990234375,3046.532958984375,17426.2109375,32585.109375
24,2023-11-14,245000,245000,238500,238500,11739,-0.8316008316008316,527620500,239000,-95712500,-432147000,52.26,0.34,3.35,2433.25,4411.5498046875,13767.740234375,3556.75,3056.070068359375,17396.859375,32695.9296875
