,date,open,high,low,close,volume,chg_pct,inst_sum,inst_ext,retail,foreign,per,pbr,div,KOSPI,SP500_US(-1),NASDAQ_US(-1),SOX_US(-1),SHANGHAI,HANGSENG,NIKKEI
0,2023-10-11,10530,10540,10340,10340,891679,-1.5238095238095237,1035980110,-7343250,2725935740,-3754572600,6.7,0.54,6.29,2450.080078125,,,,3078.9560546875,17893.099609375,31936.509765625
1,2023-10-12,10360,10360,10270,10280,944577,-0.5802707930367506,-2169348580,3104010,5133847000,-2967602430,6.66,0.54,6.32,2479.820068359375,4376.9501953125,13659.6796875,3537.830078125,3107.90087890625,18238.2109375,32494.66015625
2,2023-10-13,10250,10300,10230,10230,436506,-0.48638132295719844,-1405418230,14298580,1716762610,-325642960,6.63,0.54,6.35,2456.14990234375,4349.60986328125,13574.2197265625,3548.6201171875,3088.10009765625,17813.44921875,32315.990234375
3,2023-10-16,10250,10290,10170,10210,736619,-0.19550342130987292,-748804400,280215430,876457580,-407868610,6.62,0.54,6.37,2436.239990234375,4327.77978515625,13407.23046875,3452.969970703125,3073.81298828125,17640.359375,31659.029296875
4,2023-10-17,10280,10310,10210,10260,373034,0.4897159647404506,-364425060,94518350,413662560,-143755850,6.65,0.54,6.34,2460.169921875,4373.6298828125,13567.98046875,3502.510009765625,3083.5,17773.33984375,32040.2890625
5,2023-10-18,10260,10370,10250,10260,1016473,0.0,-1260450780,91323900,396931240,772195640,6.65,0.54,6.34,2462.60009765625,4373.2001953125,13533.75,3474.659912109375,3058.7099609375,17732.51953125,32042.25
6,2023-10-19,10220,10250,10180,10230,365418,-0.29239766081871343,-478322180,3461040,856609280,-381748140,6.63,0.54,6.35,2415.800048828125,4314.60009765625,13314.2998046875,3413.449951171875,3005.39306640625,17295.890625,31430.619140625
7,2023-10-20,10200,10230,10120,10160,534503,-0.6842619745845552,-583485430,99129820,1305999000,-821643390,6.58,0.53,6.4,2375.0,4278.0,13186.1796875,3367.77001953125,2983.06005859375,17172.130859375,31259.359375
8,2023-10-23,10220,10230,10100,10110,489894,-0.4921259842519685,228693990,-3434550,687694030,-912953470,6.55,0.53,6.43,2357.02001953125,4224.16015625,12983.8095703125,3316.139892578125,2939.291015625,,30999.55078125
9,2023-10-24,10150,10150,10020,10090,1453019,-0.19782393669634024,-90300210,101079230,2954229360,-2965008380,6.54,0.53,6.44,2383.510009765625,4217.0400390625,13018.330078125,3298.5400390625,2962.243896484375,16991.529296875,31062.349609375
10,2023-10-25,10090,10220,10090,10220,675098,1.288404360753221,1460993970,202900,-1339108710,-122088160,6.62,0.54,6.36,2363.169921875,4247.68017578125,13139.8701171875,3343.93994140625,2974.114013671875,17085.330078125,31269.919921875
11,2023-10-26,10220,10220,10050,10080,786970,-1.36986301369863,362597730,28706060,1130726210,-1522030000,6.53,0.53,6.45,2299.080078125,4186.77001953125,12821.2197265625,3205.840087890625,2988.299072265625,17044.609375,30601.779296875
12,2023-10-27,10170,10180,10070,10100,361637,0.1984126984126984,963148020,938830,-376859870,-587226980,6.55,0.53,6.44,2302.81005859375,4137.22998046875,12595.6103515625,3188.419921875,3017.783935546875,17398.73046875,30991.689453125
13,2023-10-30,10100,10110,10050,10070,449075,-0.297029702970297,45660540,6860300,509022000,-561542840,6.53,0.53,6.45,2310.550048828125,4117.3701171875,12643.009765625,3227.090087890625,3021.552978515625,17406.359375,30696.9609375
