,date,open,high,low,close,volume,chg_pct,inst_sum,inst_ext,retail,foreign,per,pbr,div,KOSPI,SP500_US(-1),NASDAQ_US(-1),SOX_US(-1),SHANGHAI,HANGSENG,NIKKEI
0,2023-10-11,194000,195800,192800,193000,603727,0.9414225941422595,4910826200,-568747300,14078801200,-18420880100,38.55,1.27,0.47,2450.080078125,,,,3078.9560546875,17893.099609375,31936.509765625
1,2023-10-12,193700,194900,191500,193600,570782,0.31088082901554404,641185000,2867200,17872328600,-18516380800,38.67,1.28,0.47,2479.820068359375,4376.9501953125,13659.6796875,3537.830078125,3107.90087890625,18238.2109375,32494.66015625
2,2023-10-13,191700,193700,190900,191800,368249,-0.9297520661157025,-11884608400,-83345300,12613956100,-646002400,38.31,1.26,0.48,2456.14990234375,4349.60986328125,13574.2197265625,3548.6201171875,3088.10009765625,17813.44921875,32315.990234375
3,2023-10-16,190500,192000,188400,189700,568781,-1.094890510948905,-16828479100,146906700,11357986900,5323585500,37.89,1.25,0.48,2436.239990234375,4327.77978515625,13407.23046875,3452.969970703125,3073.81298828125,17640.359375,31659.029296875
4,2023-10-17,191500,192800,188500,188500,512662,-0.632577754348972,-18557114600,-270483400,26007702200,-7180104200,37.65,1.24,0.48,2460.169921875,4373.6298828125,13567.98046875,3502.510009765625,3083.5,17773.33984375,32040.2890625
5,2023-10-18,188400,190000,185500,186300,531306,-1.16710875331565,-18320446200,175240600,21039674400,-2894468800,37.21,1.23,0.49,2462.60009765625,4373.2001953125,13533.75,3474.659912109375,3058.7099609375,17732.51953125,32042.25
6,2023-10-19,183100,183600,180700,181400,789241,-2.63016639828234,-12599071100,1663559100,20478338500,-9542826500,36.23,1.2,0.5,2415.800048828125,4314.60009765625,13314.2998046875,3413.449951171875,3005.39306640625,17295.890625,31430.619140625
7,2023-10-20,178400,181600,178000,180200,579075,-0.6615214994487321,-4644043100,1607412300,7998337400,-4961706600,35.99,1.19,0.51,2375.0,4278.0,13186.1796875,3367.77001953125,2983.06005859375,17172.130859375,31259.359375
8,2023-10-23,179300,182200,178200,178300,446010,-1.0543840177580466,1655052600,602042100,9277692500,-11534787200,35.61,1.18,0.51,2357.02001953125,4224.16015625,12983.8095703125,3316.139892578125,2939.291015625,,30999.55078125
9,2023-10-24,181500,187100,180100,187000,802790,4.879416713404375,20268849200,-1361734200,-23528018300,4620903300,37.35,1.23,0.49,2383.510009765625,4217.0400390625,13018.330078125,3298.5400390625,2962.243896484375,16991.529296875,31062.349609375
10,2023-10-25,189900,191200,184800,189100,802846,1.1229946524064172,2731937500,-25950600,-15246879300,12540892400,37.77,1.25,0.48,2363.169921875,4247.68017578125,13139.8701171875,3343.93994140625,2974.114013671875,17085.330078125,31269.919921875
