,date,open,high,low,close,volume,chg_pct,inst_sum,inst_ext,retail,foreign,per,pbr,div,KOSPI,SP500_US(-1),NASDAQ_US(-1),SOX_US(-1),SHANGHAI,HANGSENG,NIKKEI
0,2023-10-11,75300,75300,73200,74700,514229,-1.4511873350923483,-3719949500,61444100,8426318600,-4767813200,4.13,1.03,7.36,2450.080078125,,,,3078.9560546875,17893.099609375,31936.509765625
1,2023-10-12,73700,74200,72900,73500,403510,-1.6064257028112447,-6310592800,344665400,4781081600,1184845800,4.07,1.01,7.48,2479.820068359375,4376.9501953125,13659.6796875,3537.830078125,3107.90087890625,18238.2109375,32494.66015625
2,2023-10-13,73100,74000,72800,73900,318352,0.5442176870748299,-7829191400,21835400,4702983200,3104372800,4.09,1.01,7.44,2456.14990234375,4349.60986328125,13574.2197265625,3548.6201171875,3088.10009765625,17813.44921875,32315.990234375
3,2023-10-16,75700,75900,73100,73600,571094,-0.40595399188092013,-6185259000,-12632600,9338140600,-3140249000,4.07,1.01,7.47,2436.239990234375,4327.77978515625,13407.23046875,3452.969970703125,3073.81298828125,17640.359375,31659.029296875
4,2023-10-17,73100,73800,71600,71700,549904,-2.5815217391304346,-10983504900,222240400,11140599800,-379335300,3.97,0.98,7.67,2460.169921875,4373.6298828125,13567.98046875,3502.510009765625,3083.5,17773.33984375,32040.2890625
5,2023-10-18,72700,73200,71700,72800,457164,1.5341701534170153,-5594696200,-169600,-2442886800,8037752600,4.03,1.0,7.55,2462.60009765625,4373.2001953125,13533.75,3474.659912109375,3058.7099609375,17732.51953125,32042.25
6,2023-10-19,72800,73400,71100,71600,341777,-1.6483516483516485,-4863791200,149635700,5316471700,-602316200,3.96,0.98,7.68,2415.800048828125,4314.60009765625,13314.2998046875,3413.449951171875,3005.39306640625,17295.890625,31430.619140625
7,2023-10-20,71300,72100,70600,70700,267197,-1.2569832402234637,-3949481800,-357360800,4964560900,-657718300,3.91,0.97,7.78,2375.0,4278.0,13186.1796875,3367.77001953125,2983.06005859375,17172.130859375,31259.359375
8,2023-10-23,70100,70500,69300,69700,232720,-1.4144271570014144,-536369800,92485500,1725824800,-1281940500,3.86,0.96,7.89,2357.02001953125,4224.16015625,12983.8095703125,3316.139892578125,2939.291015625,,30999.55078125
9,2023-10-24,69200,69800,68000,69700,304972,0.0,-3054288700,36947500,2617783100,399558100,3.86,0.96,7.89,2383.510009765625,4217.0400390625,13018.330078125,3298.5400390625,2962.243896484375,16991.529296875,31062.349609375
10,2023-10-25,69100,70400,68800,69800,273386,0.1434720229555237,-6436299700,-91967500,857065100,5671202100,3.86,0.96,7.88,2363.169921875,4247.68017578125,13139.8701171875,3343.93994140625,2974.114013671875,17085.330078125,31269.919921875
11,2023-10-26,69800,70500,68100,68700,340077,-1.5759312320916905,1733490200,17303500,4057898800,-5808692500,3.8,0.94,8.01,2299.080078125,4186.77001953125,12821.2197265625,3205.840087890625,2988.299072265625,17044.609375,30601.779296875
12,2023-10-27,68600,69200,68200,68400,162692,-0.43668122270742354,-2452593700,13468700,1283821500,1155303500,3.78,0.94,8.04,2302.81005859375,4137.22998046875,12595.6103515625,3188.419921875,3017.783935546875,17398.73046875,30991.689453125
13,2023-10-30,69000,69700,68400,69700,210830,1.9005847953216373,-1811077200,1044800,775356700,1034675700,3.86,0.96,7.89,2310.550048828125,4117.3701171875,12643.009765625,3227.090087890625,3021.552978515625,17406.359375,30696.9609375
14,2023-10-31,69800,69800,66000,66400,648931,-4.734576757532281,-6215906500,-1299580200,20801376400,-13285889700,3.67,0.91,8.28,2277.989990234375,4166.81982421875,12789.48046875,3185.179931640625,3018.77099609375,17112.48046875,30858.849609375
15,2023-11-01,66500,66800,65500,66500,207846,0.15060240963855423,980836200,5513400,2312648000,-3298997600,3.68,0.91,8.27,2301.56005859375,4193.7998046875,12851.240234375,3215.889892578125,3023.076904296875,17101.779296875,31601.650390625
