,date,open,high,low,close,volume,chg_pct,inst_sum,inst_ext,retail,foreign,per,pbr,div,KOSPI,SP500_US(-1),NASDAQ_US(-1),SOX_US(-1),SHANGHAI,HANGSENG,NIKKEI
0,2023-10-11,128500,134200,128100,131800,55404,2.7279812938425563,3271713600,-3653700,-3744022800,475962900,3.53,0.63,4.1,2450.080078125,,,,3078.9560546875,17893.099609375,31936.509765625
1,2023-10-12,131000,132600,128200,131100,71576,-0.5311077389984825,1394940300,68616700,435208600,-1898765600,3.52,0.63,4.12,2479.820068359375,4376.9501953125,13659.6796875,3537.830078125,3107.90087890625,18238.2109375,32494.66015625
2,2023-10-13,128500,131100,128300,129000,47719,-1.6018306636155606,-552423000,-54045800,524634300,81834500,3.46,0.62,4.19,2456.14990234375,4349.60986328125,13574.2197265625,3548.6201171875,3088.10009765625,17813.44921875,32315.990234375
3,2023-10-16,128000,130200,127200,129100,72253,0.07751937984496124,735123300,21383300,860974900,-1617481500,3.46,0.62,4.18,2436.239990234375,4327.77978515625,13407.23046875,3452.969970703125,3073.81298828125,17640.359375,31659.029296875
4,2023-10-17,131600,131600,129000,129600,53102,0.3872966692486445,923009800,42559000,-217432900,-748135900,3.48,0.62,4.17,2460.169921875,4373.6298828125,13567.98046875,3502.510009765625,3083.5,17773.33984375,32040.2890625
5,2023-10-18,129500,131500,128900,131500,123891,1.4660493827160492,-123862000,85806900,-1052785400,1090840500,3.53,0.63,4.11,2462.60009765625,4373.2001953125,13533.75,3474.659912109375,3058.7099609375,17732.51953125,32042.25
6,2023-10-19,129200,129800,127400,128400,43703,-2.3574144486692017,-543728600,174740400,919817300,-550829100,3.44,0.62,4.21,2415.800048828125,4314.60009765625,13314.2998046875,3413.449951171875,3005.39306640625,17295.890625,31430.619140625
7,2023-10-20,127400,127600,121100,121300,91112,-5.529595015576324,-951672200,148374300,4920585700,-4117287800,3.25,0.58,4.45,2375.0,4278.0,13186.1796875,3367.77001953125,2983.06005859375,17172.130859375,31259.359375
8,2023-10-23,121200,121900,117500,118900,68250,-1.9785655399835118,-1238402300,-13899300,1240527200,11774400,3.19,0.57,4.54,2357.02001953125,4224.16015625,12983.8095703125,3316.139892578125,2939.291015625,,30999.55078125
9,2023-10-24,119300,121200,117600,121200,38967,1.9343986543313711,317297300,14123800,-764840100,433419000,3.25,0.58,4.46,2383.510009765625,4217.0400390625,13018.330078125,3298.5400390625,2962.243896484375,16991.529296875,31062.349609375
10,2023-10-25,120100,127400,120100,125200,78551,3.3003300330033,3497573800,-44579700,-4359470400,906476300,3.36,0.6,4.31,2363.169921875,4247.68017578125,13139.8701171875,3343.93994140625,2974.114013671875,17085.330078125,31269.919921875
11,2023-10-26,124800,125300,121200,122300,79984,-2.31629392971246,3829528300,4399800,-311600800,-3522327300,3.28,0.59,4.42,2299.080078125,4186.77001953125,12821.2197265625,3205.840087890625,2988.299072265625,17044.609375,30601.779296875
12,2023-10-27,126900,126900,121900,122600,34070,0.24529844644317253,1252767500,-49968300,17853600,-1220652800,3.29,0.59,4.4,2302.81005859375,4137.22998046875,12595.6103515625,3188.419921875,3017.783935546875,17398.73046875,30991.689453125
13,2023-10-30,123000,130200,122800,129500,131620,5.628058727569331,5541691000,-148438300,-5406470300,13217600,3.47,0.62,4.17,2310.550048828125,4117.3701171875,12643.009765625,3227.090087890625,3021.552978515625,17406.359375,30696.9609375
14,2023-10-31,130700,130900,124000,126700,109528,-2.1621621621621623,2323936300,-638698500,173265200,-1858503000,3.4,0.61,4.26,2277.989990234375,4166.81982421875,12789.48046875,3185.179931640625,3018.77099609375,17112.48046875,30858.849609375
15,2023-11-01,126700,126700,113300,116800,270450,-7.813733228097869,-5032434900,-42593900,9483753000,-4408724200,3.13,0.56,4.62,2301.56005859375,4193.7998046875,12851.240234375,3215.889892578125,3023.076904296875,17101.779296875,31601.650390625
16,2023-11-02,118600,119900,116600,117900,139829,0.9417808219178082,-3759157900,-242362800,595277600,3406243100,3.16,0.57,4.58,2343.1201171875,4237.85986328125,13061.4697265625,3290.949951171875,3009.406005859375,17230.58984375,31949.890625
17,2023-11-03,119100,122500,119100,122000,99751,3.477523324851569,50803100,70771200,-4120678300,3999104000,3.27,0.58,4.43,2368.340087890625,4317.77978515625,13294.1904296875,3368.5400390625,3030.798095703125,17664.119140625,
18,2023-11-06,122000,126600,120900,126600,77898,3.7704918032786887,899471500,-249424300,-3463605800,2813558600,3.4,0.61,4.27,2502.3701171875,4358.33984375,13478.2802734375,3454.570068359375,3058.410888671875,17966.58984375,32708.48046875
19,2023-11-07,126700,128300,122800,128300,80768,1.3428120063191153,-1937659900,-48914600,-1367527700,3354102200,3.44,0.61,4.21,2443.9599609375,4365.97998046875,13518.7802734375,3444.889892578125,3057.27001953125,17670.16015625,32271.8203125
20,2023-11-08,128900,131600,128400,129500,57030,0.9353078721745909,2630505100,-32755900,-3489687900,891938700,3.47,0.62,4.17,2421.6201171875,4378.3798828125,13639.8603515625,3471.4599609375,3052.373046875,17568.4609375,32166.48046875
21,2023-11-09,128100,131600,127600,130800,44993,1.0038610038610039,2080556000,-13669600,-2694661300,627774900,3.51,0.63,4.13,2427.080078125,4382.77978515625,13650.41015625,3472.669921875,3053.279052734375,17511.2890625,32646.4609375
22,2023-11-10,129500,129500,127000,129000,32080,-1.3761467889908259,51004200,-96418800,53501200,-8086600,3.46,0.62,4.19,2409.659912109375,4347.35009765625,13521.4501953125,3452.340087890625,3038.969970703125,17203.259765625,32568.109375
23,2023-11-13,130200,130500,126200,126200,47140,-2.1705426356589146,-1826953200,-40398300,1006710400,860641100,3.38,0.6,4.28,2403.760009765625,4415.240234375,13798.1103515625,3591.739990234375,3046.532958984375,17426.2109375,32585.109375
24,2023-11-14,128500,128900,126500,127600,32731,1.109350237717908,878191300,-109221900,-542892400,-226077000,3.42,0.61,4.23,2433.25,4411.5498046875,13767.740234375,3556.75,3056.070068359375,17396.859375,32695.9296875
25,2023-11-15,131500,132000,129400,131400,51167,2.978056426332288,1549380200,-191391600,-3526188100,2168199500,3.52,0.63,4.11,2486.669921875,4495.7001953125,14094.3798828125,3685.570068359375,3072.8349609375,18079.0,33519.69921875
26,2023-11-16,130600,132000,129000,130600,23277,-0.60882800608828,-181784100,-16751300,-221912400,420447800,3.5,0.63,4.13,2488.179931640625,4502.8798828125,14103.83984375,3712.090087890625,3050.926025390625,17832.8203125,33424.41015625
27,2023-11-17,130700,131600,129500,131100,30673,0.38284839203675347,38111100,-4694900,-489810200,456394000,3.52,0.63,4.12,2469.85009765625,4508.240234375,14113.669921875,3724.10009765625,3054.3701171875,17454.189453125,33585.19921875
28,2023-11-20,132000,132000,128700,131000,31368,-0.07627765064836003,-16715800,-72912200,-12516500,102144500,3.51,0.63,4.12,2491.199951171875,4514.02001953125,14125.48046875,3748.64990234375,3068.319091796875,17778.0703125,33388.03125
29,2023-11-21,131500,131800,129800,130400,39685,-0.45801526717557256,-112280800,-29519700,-136611800,278412300,3.5,0.62,4.14,2510.419921875,4547.3798828125,14284.5302734375,3805.81005859375,3067.93310546875,17733.890625,33354.140625
30,2023-11-22,129200,131300,128900,130300,66113,-0.07668711656441718,-6474836600,-93412800,1058107200,5510142200,3.49,0.62,4.14,2511.699951171875,4538.18994140625,14199.98046875,3732.7900390625,3043.611083984375,17734.599609375,33451.828125
31,2023-11-23,129500,131000,129300,130100,28474,-0.15349194167306215,-889579300,-94705000,110138700,874145600,3.49,0.62,4.15,2514.9599609375,4556.6201171875,14265.8603515625,3744.9599609375,3061.85595703125,17910.83984375,
32,2023-11-24,129400,130100,128000,128200,40476,-1.4604150653343582,-2529310500,-4967200,1817340700,716937000,3.44,0.61,4.21,2496.6298828125,,,,3040.971923828125,17559.419921875,33625.53125
33,2023-11-27,128800,129200,127300,128700,32095,0.39001560062402496,-939642000,-149630700,-162615000,1251887700,3.45,0.62,4.2,2495.659912109375,4559.33984375,14250.849609375,3747.929931640625,3031.699951171875,17525.060546875,33447.671875
34,2023-11-28,129200,129500,128200,129100,43639,0.3108003108003108,-51550400,-54264700,-153694300,259509400,3.46,0.62,4.18,2521.760009765625,4550.43017578125,14241.01953125,3739.31005859375,3038.550048828125,17354.140625,33408.390625
35,2023-11-29,129000,129100,127500,127600,32461,-1.1618900077459333,-1078350500,-10742400,1040856900,48236000,3.42,0.61,4.23,2519.81005859375,4554.89013671875,14281.759765625,3718.35009765625,3021.68701171875,16993.439453125,33321.21875
36,2023-11-30,128200,128200,125900,128000,178275,0.3134796238244514,-1384712900,-26665000,676622200,734755700,3.43,0.61,4.22,2535.2900390625,4550.580078125,14258.490234375,3753.360107421875,3029.673095703125,17042.880859375,33486.890625
37,2023-12-01,128000,128800,126500,126500,29443,-1.171875,-769564300,-11608500,764453900,16718900,3.39,0.61,4.27,2505.010009765625,4567.7998046875,14226.2197265625,3724.580078125,3031.635986328125,16830.30078125,33431.51171875
38,2023-12-04,127700,127700,125500,125500,31879,-0.7905138339920948,764884700,2140200,639911800,-1406936700,3.37,0.6,4.3,2514.949951171875,4594.6298828125,14305.0302734375,3738.27001953125,3022.9140625,16646.05078125,33231.26953125
39,2023-12-05,124500,127200,124400,126500,40711,0.796812749003984,204325800,629200,-684604100,479649100,3.39,0.61,4.27,2494.280029296875,4569.77978515625,14185.490234375,3693.43994140625,2972.2958984375,16327.8603515625,32775.8203125
40,2023-12-06,126200,126300,122600,122700,59918,-3.0039525691699605,-688310900,-14842000,3711575200,-3008422300,3.29,0.59,4.4,2495.3798828125,4567.18017578125,14229.91015625,3672.39990234375,2968.93310546875,16463.259765625,33445.8984375
41,2023-12-07,123900,128900,122700,127300,113842,3.7489812550937245,5504260700,-113051100,-4758428400,-632781200,3.41,0.61,4.24,2492.070068359375,4549.33984375,14146.7099609375,3645.820068359375,2966.2060546875,16345.8896484375,32858.30859375
42,2023-12-08,127900,128000,125100,126100,33809,-0.9426551453260016,-892162100,-12252600,1016504500,-112089800,3.38,0.6,4.28,2517.85009765625,4585.58984375,14339.990234375,3747.5400390625,2969.55908203125,16334.3701171875,32307.859375
43,2023-12-11,126000,127000,125100,126100,27088,0.0,1395952800,-18284000,-449941700,-927727100,3.38,0.6,4.28,2525.360107421875,4604.3701171875,14403.9697265625,3774.169921875,2991.43896484375,16201.490234375,32791.80078125
