,date,open,high,low,close,volume,chg_pct,inst_sum,inst_ext,retail,foreign,per,pbr,div,KOSPI,SP500_US(-1),NASDAQ_US(-1),SOX_US(-1),SHANGHAI,HANGSENG,NIKKEI
0,2023-10-11,135600,139700,134300,138600,519375,3.125,11095868300,-505782500,-20833250100,10243164300,10.68,1.39,1.52,2450.080078125,,,,3078.9560546875,17893.099609375,31936.509765625
1,2023-10-12,138600,140400,137700,140400,262631,1.2987012987012987,10192547900,-58773500,-7280296100,-2853478300,10.82,1.41,1.5,2479.820068359375,4376.9501953125,13659.6796875,3537.830078125,3107.90087890625,18238.2109375,32494.66015625
2,2023-10-13,138600,140900,138500,140000,183584,-0.2849002849002849,-170125400,-266441400,-8502092000,8938658800,10.79,1.4,1.5,2456.14990234375,4349.60986328125,13574.2197265625,3548.6201171875,3088.10009765625,17813.44921875,32315.990234375
3,2023-10-16,138500,140200,135300,136800,240276,-2.2857142857142856,-7448380600,-186766200,2990377900,4644768900,10.54,1.37,1.54,2436.239990234375,4327.77978515625,13407.23046875,3452.969970703125,3073.81298828125,17640.359375,31659.029296875
4,2023-10-17,138000,140800,137300,139800,296569,2.1929824561403506,-398121200,-36533200,-12069882700,12504537100,10.77,1.4,1.5,2460.169921875,4373.6298828125,13567.98046875,3502.510009765625,3083.5,17773.33984375,32040.2890625
5,2023-10-18,139100,144900,139000,144800,780484,3.5765379113018603,18854887000,1886370600,-41973753100,21232495500,11.16,1.45,1.45,2462.60009765625,4373.2001953125,13533.75,3474.659912109375,3058.7099609375,17732.51953125,32042.25
6,2023-10-19,142300,143800,141500,142900,341273,-1.3121546961325967,6649895100,65393400,-4656178400,-2059110100,11.01,1.43,1.47,2415.800048828125,4314.60009765625,13314.2998046875,3413.449951171875,3005.39306640625,17295.890625,31430.619140625
7,2023-10-20,141600,141600,139000,139500,298683,-2.3792862141357594,1191002200,438351500,2447064700,-4076418400,10.75,1.4,1.51,2375.0,4278.0,13186.1796875,3367.77001953125,2983.06005859375,17172.130859375,31259.359375
8,2023-10-23,139500,141200,139000,139700,202855,0.14336917562724014,-74223100,38661900,-1295148500,1330709700,10.77,1.4,1.5,2357.02001953125,4224.16015625,12983.8095703125,3316.139892578125,2939.291015625,,30999.55078125
9,2023-10-24,141000,143000,139100,140800,285962,0.7874015748031495,-48310900,-344979300,-2357706700,2750996900,10.85,1.41,1.49,2383.510009765625,4217.0400390625,13018.330078125,3298.5400390625,2962.243896484375,16991.529296875,31062.349609375
10,2023-10-25,141000,143900,140900,143000,292131,1.5625,7314256100,-80878300,-13337739800,6104362000,11.02,1.43,1.47,2363.169921875,4247.68017578125,13139.8701171875,3343.93994140625,2974.114013671875,17085.330078125,31269.919921875
11,2023-10-26,139100,140400,124100,124100,1298276,-13.216783216783218,-21302344200,1861378700,66127678200,-46686712700,9.56,1.24,1.69,2299.080078125,4186.77001953125,12821.2197265625,3205.840087890625,2988.299072265625,17044.609375,30601.779296875
12,2023-10-27,124300,125300,119100,123100,684274,-0.8058017727639,-3481474700,-520836300,11853516900,-7851205900,9.49,1.23,1.71,2302.81005859375,4137.22998046875,12595.6103515625,3188.419921875,3017.783935546875,17398.73046875,30991.689453125
13,2023-10-30,123000,128700,122500,126400,418761,2.680747359870024,-530949900,-38738500,-10193828500,10763516900,9.74,1.27,1.66,2310.550048828125,4117.3701171875,12643.009765625,3227.090087890625,3021.552978515625,17406.359375,30696.9609375
