,date,open,high,low,close,volume,chg_pct,inst_sum,inst_ext,retail,foreign,per,pbr,div,KOSPI,SP500_US(-1),NASDAQ_US(-1),SOX_US(-1),SHANGHAI,HANGSENG,NIKKEI
0,2024-02-27,89100,93500,57699,63500,21833840,,-33707104000.0,-211648386500.0,258063043000.0,-12707552500.0,75.22,22.75,0.0,2625.050048828125,5069.52978515625,15976.25,4663.47021484375,3015.48095703125,16790.80078125,39239.51953125
1,2024-02-28,61900,63300,56300,60800,5970590,-4.251968503937007,-15784351000.0,-8476902500.0,8669825000.0,15591428500.0,72.02,21.79,0.0,2652.2900390625,5078.18017578125,16035.2998046875,4654.89013671875,2957.85205078125,16536.849609375,39208.03125
2,2024-02-29,60599,65600,58700,59600,5743355,-1.9736842105263157,-1824501000.0,-11990048000.0,5327097000.0,8487452000.0,70.6,21.36,0.0,2642.360107421875,5069.759765625,15947.740234375,4602.60009765625,3015.1708984375,16511.439453125,39166.19140625
3,2024-03-04,61699,62500,59300,59900,2396830,0.5033557046979865,511730000.0,681843000.0,-3133938000.0,1940365000.0,70.95,21.46,0.0,2674.27001953125,5137.080078125,16274.9404296875,4929.580078125,3039.305908203125,16595.970703125,40109.23046875
4,2024-03-05,59400,59800,54300,55500,2330940,-7.345575959933222,-6140874500.0,346313500.0,4370263000.0,1424298000.0,65.74,19.89,0.0,2649.39990234375,5130.9501953125,16207.509765625,4981.97021484375,3047.79296875,16162.6396484375,40097.62890625
5,2024-03-06,54600,58400,54500,57300,1967135,3.2432432432432434,3019984500.0,1346326500.0,-6675187000.0,2308876000.0,67.87,20.53,0.0,2641.489990234375,5078.64990234375,15939.58984375,4879.830078125,3039.930908203125,16438.08984375,40090.78125
6,2024-03-07,56800,57100,52900,52900,1647765,-7.678883071553229,1698667500.0,1342200000.0,-1288499000.0,-1752368500.0,62.66,18.96,0.0,2647.6201171875,5104.759765625,16031.5400390625,4997.93017578125,3027.40087890625,16229.7802734375,39598.7109375
7,2024-03-08,53300,54800,51300,52400,1492385,-0.945179584120983,2497008500.0,-433700000.0,-2741573500.0,678265000.0,62.07,18.78,0.0,2680.35009765625,5157.35986328125,16273.3798828125,5165.830078125,3046.01904296875,16353.3896484375,39688.94140625
8,2024-03-11,51900,52400,50000,50100,1077210,-4.3893129770992365,1047963500.0,-1741073500.0,282564000.0,410546000.0,59.35,17.95,0.0,2659.840087890625,5123.68994140625,16085.1103515625,4957.77978515625,3068.455078125,16587.5703125,38820.48828125
9,2024-03-12,50500,51800,49800,50400,755950,0.5988023952095809,1341576500.0,914586500.0,-2625459500.0,369296500.0,59.7,18.06,0.0,2681.81005859375,5117.93994140625,16019.26953125,4890.2001953125,3055.93505859375,17093.5,38797.51171875
