,date,open,high,low,close,volume,chg_pct,inst_sum,inst_ext,retail,foreign,per,pbr,div,KOSPI,SP500_US(-1),NASDAQ_US(-1),SOX_US(-1),SHANGHAI,HANGSENG,NIKKEI
0,2023-10-11,49591,49978,49010,49107,9800,-1.1712853951578819,148846000.0,0.0,-68063000.0,-80783000.0,2.38,0.22,1.97,2450.080078125,,,,3078.9560546875,17893.099609375,31936.509765625
1,2023-10-12,49107,50172,49010,50076,13940,1.9732421039770298,77338000.0,0.0,-307050000.0,229712000.0,2.42,0.23,1.93,2479.820068359375,4376.9501953125,13659.6796875,3537.830078125,3107.90087890625,18238.2109375,32494.66015625
2,2023-10-13,49591,50463,49591,50173,6100,0.19370556753734322,4438000.0,-1037000.0,-53625000.0,50224000.0,2.43,0.23,1.93,2456.14990234375,4349.60986328125,13574.2197265625,3548.6201171875,3088.10009765625,17813.44921875,32315.990234375
3,2023-10-16,49882,50173,48817,49689,10020,-0.9646622685508142,60815000.0,0.0,83111000.0,-143926000.0,2.4,0.23,1.95,2436.239990234375,4327.77978515625,13407.23046875,3452.969970703125,3073.81298828125,17640.359375,31659.029296875
4,2023-10-17,50172,50172,48913,49301,6220,-0.7808569301052547,-1881000.0,0.0,30584000.0,-28703000.0,2.38,0.22,1.96,2460.169921875,4373.6298828125,13567.98046875,3502.510009765625,3083.5,17773.33984375,32040.2890625
5,2023-10-18,49397,49688,48429,49204,9400,-0.19675057301068943,-55879000.0,0.0,68555000.0,-12676000.0,2.38,0.22,1.97,2462.60009765625,4373.2001953125,13533.75,3474.659912109375,3058.7099609375,17732.51953125,32042.25
6,2023-10-19,48719,48913,48187,48381,17900,-1.6726282416063734,151526500.0,1998000.0,4283000.0,-157807500.0,2.34,0.22,2.0,2415.800048828125,4314.60009765625,13314.2998046875,3413.449951171875,3005.39306640625,17295.890625,31430.619140625
7,2023-10-20,48235,48283,47315,47945,16840,-0.9011802153738038,162513500.0,14850000.0,-56260500.0,-121103000.0,2.32,0.22,2.02,2375.0,4278.0,13186.1796875,3367.77001953125,2983.06005859375,17172.130859375,31259.359375
8,2023-10-23,47363,47848,47121,47703,14120,-0.5047450203358015,150453500.0,-1962000.0,92312500.0,-240804000.0,2.31,0.22,2.03,2357.02001953125,4224.16015625,12983.8095703125,3316.139892578125,2939.291015625,,30999.55078125
9,2023-10-24,47944,47944,45765,47751,22480,0.10062260235205332,80410500.0,9748000.0,41923000.0,-132081500.0,2.31,0.22,2.03,2383.510009765625,4217.0400390625,13018.330078125,3298.5400390625,2962.243896484375,16991.529296875,31062.349609375
10,2023-10-25,47412,48914,47412,48333,13560,1.2188226424577497,141668000.0,0.0,-287797000.0,146129000.0,2.34,0.22,2.0,2363.169921875,4247.68017578125,13139.8701171875,3343.93994140625,2974.114013671875,17085.330078125,31269.919921875
11,2023-10-26,48235,48283,47266,47751,8450,-1.2041462354912793,115221000.0,-4409000.0,-36851500.0,-73960500.0,2.31,0.22,2.03,2299.080078125,4186.77001953125,12821.2197265625,3205.840087890625,2988.299072265625,17044.609375,30601.779296875
12,2023-10-27,48235,48235,46831,47364,10750,-0.8104542313249984,91891500.0,9740000.0,-103668500.0,2037000.0,2.29,0.22,2.04,2302.81005859375,4137.22998046875,12595.6103515625,3188.419921875,3017.783935546875,17398.73046875,30991.689453125
13,2023-10-30,46637,47897,46637,47897,12520,1.1253272527658138,86830500.0,5845000.0,-77949000.0,-14726500.0,2.32,0.22,2.02,2310.550048828125,4117.3701171875,12643.009765625,3227.090087890625,3021.552978515625,17406.359375,30696.9609375
14,2023-10-31,48332,48380,44748,45475,32630,-5.056684134705723,-632890000.0,20453000.0,466547500.0,145889500.0,2.2,0.21,2.13,2277.989990234375,4166.81982421875,12789.48046875,3185.179931640625,3018.77099609375,17112.48046875,30858.849609375
15,2023-11-01,45426,46153,43973,45233,23000,-0.5321605277625069,230185500.0,0.0,-162555000.0,-67630500.0,2.19,0.21,2.14,2301.56005859375,4193.7998046875,12851.240234375,3215.889892578125,3023.076904296875,17101.779296875,31601.650390625
16,2023-11-02,45814,46299,45669,46299,16140,2.356686489952026,99119000.0,-4756000.0,-420696000.0,326333000.0,2.24,0.21,2.09,2343.1201171875,4237.85986328125,13061.4697265625,3290.949951171875,3009.406005859375,17230.58984375,31949.890625
17,2023-11-03,47363,47557,46443,46831,13400,1.1490528953109138,165622500.0,481500.0,-75437500.0,-90666500.0,2.27,0.21,2.07,2368.340087890625,4317.77978515625,13294.1904296875,3368.5400390625,3030.798095703125,17664.119140625,
18,2023-11-06,47750,48429,46927,48429,17210,3.4122696504452183,165538000.0,-996000.0,-288964500.0,124422500.0,2.34,0.22,2.0,2502.3701171875,4358.33984375,13478.2802734375,3454.570068359375,3058.410888671875,17966.58984375,32708.48046875
19,2023-11-07,48284,48284,47170,47558,12490,-1.7985091577360672,83770000.0,493000.0,82416500.0,-166679500.0,2.3,0.22,2.04,2443.9599609375,4365.97998046875,13518.7802734375,3444.889892578125,3057.27001953125,17670.16015625,32271.8203125
20,2023-11-08,48428,48428,47169,47751,10690,0.40582026157533957,152885500.0,0.0,30189500.0,-183075000.0,2.31,0.22,2.03,2421.6201171875,4378.3798828125,13639.8603515625,3471.4599609375,3052.373046875,17568.4609375,32166.48046875
21,2023-11-09,47800,48284,47073,47461,11940,-0.6073171242487069,55475000.0,0.0,-32490000.0,-22985000.0,2.3,0.22,2.04,2427.080078125,4382.77978515625,13650.41015625,3472.669921875,3053.279052734375,17511.2890625,32646.4609375
22,2023-11-10,47024,47460,46298,47170,5960,-0.6131349950485662,-8500000.0,0.0,28316500.0,-19816500.0,2.28,0.21,2.05,2409.659912109375,4347.35009765625,13521.4501953125,3452.340087890625,3038.969970703125,17203.259765625,32568.109375
23,2023-11-13,47654,47944,46976,47267,5980,0.20563917744329022,101220500.0,0.0,-23630000.0,-77590500.0,2.29,0.21,2.05,2403.760009765625,4415.240234375,13798.1103515625,3591.739990234375,3046.532958984375,17426.2109375,32585.109375
24,2023-11-14,47896,48283,47702,48090,8960,1.7411724882053017,247052500.0,4500.0,-149842000.0,-97215000.0,2.33,0.22,2.01,2433.25,4411.5498046875,13767.740234375,3556.75,3056.070068359375,17396.859375,32695.9296875
25,2023-11-15,48429,49494,48429,49301,16960,2.518195050946143,406291000.0,0.0,-535575000.0,129284000.0,2.38,0.22,1.96,2486.669921875,4495.7001953125,14094.3798828125,3685.570068359375,3072.8349609375,18079.0,33519.69921875
26,2023-11-16,49301,49688,48623,49398,6160,0.19675057301068943,67345000.0,0.0,-84013000.0,16668000.0,2.39,0.22,1.96,2488.179931640625,4502.8798828125,14103.83984375,3712.090087890625,3050.926025390625,17832.8203125,33424.41015625
27,2023-11-17,48913,49397,48719,49204,4710,-0.39272845054455646,35523000.0,0.0,29205000.0,-64728000.0,2.38,0.22,1.97,2469.85009765625,4508.240234375,14113.669921875,3724.10009765625,3054.3701171875,17454.189453125,33585.19921875
28,2023-11-20,49301,49494,48622,49301,5840,0.19713844402894073,121016000.0,0.0,-109347000.0,-11669000.0,2.38,0.22,1.96,2491.199951171875,4514.02001953125,14125.48046875,3748.64990234375,3068.319091796875,17778.0703125,33388.03125
29,2023-11-21,49591,49591,48913,49204,7390,-0.19675057301068943,-54040000.0,0.0,8899000.0,45141000.0,2.38,0.22,1.97,2510.419921875,4547.3798828125,14284.5302734375,3805.81005859375,3067.93310546875,17733.890625,33354.140625
30,2023-11-22,48817,49301,48817,48914,5040,-0.5893829769937403,-74784000.0,0.0,31182000.0,43602000.0,2.37,0.22,1.98,2511.699951171875,4538.18994140625,14199.98046875,3732.7900390625,3043.611083984375,17734.599609375,33451.828125
31,2023-11-23,48816,49398,48526,49398,6380,0.9894917610500061,5079000.0,-5040000.0,-41101000.0,41062000.0,2.39,0.22,1.96,2514.9599609375,4556.6201171875,14265.8603515625,3744.9599609375,3061.85595703125,17910.83984375,
32,2023-11-24,49495,49689,49204,49689,6670,0.5890926758168347,81733000.0,511000.0,-184447000.0,102203000.0,2.4,0.23,1.95,2496.6298828125,,,,3040.971923828125,17559.419921875,33625.53125
33,2023-11-27,49591,49978,49397,49882,5240,0.38841594719153133,107689000.0,0.0,-81801000.0,-25888000.0,2.41,0.23,1.94,2495.659912109375,4559.33984375,14250.849609375,3747.929931640625,3031.699951171875,17525.060546875,33447.671875
34,2023-11-28,49979,50172,49397,50076,12240,0.3889178461168358,350532000.0,-4128000.0,-333528000.0,-12876000.0,2.42,0.23,1.93,2521.760009765625,4550.43017578125,14241.01953125,3739.31005859375,3038.550048828125,17354.140625,33408.390625
35,2023-11-29,49301,50075,49010,49301,9910,-1.5476475756849588,-78037000.0,0.0,34455000.0,43582000.0,2.38,0.22,1.96,2519.81005859375,4554.89013671875,14281.759765625,3718.35009765625,3021.68701171875,16993.439453125,33321.21875
36,2023-11-30,49882,49979,49204,49398,5780,0.19675057301068943,90764000.0,30900000.0,-61432000.0,-60232000.0,2.39,0.22,1.96,2535.2900390625,4550.580078125,14258.490234375,3753.360107421875,3029.673095703125,17042.880859375,33486.890625
37,2023-12-01,49107,49978,48816,49301,107890,-0.19636422527227823,5055570000.0,-2569000.0,-5080446000.0,27445000.0,2.38,0.22,1.96,2505.010009765625,4567.7998046875,14226.2197265625,3724.580078125,3031.635986328125,16830.30078125,33431.51171875
38,2023-12-04,50075,52012,49881,51916,27460,5.304152045597452,440542000.0,-515000.0,-1090293000.0,650266000.0,2.51,0.24,1.87,2514.949951171875,4594.6298828125,14305.0302734375,3738.27001953125,3022.9140625,16646.05078125,33231.26953125
39,2023-12-05,51141,53078,51141,52885,27510,1.8664766160721165,636200000.0,-51326000.0,-978339000.0,393465000.0,2.56,0.24,1.83,2494.280029296875,4569.77978515625,14185.490234375,3693.43994140625,2972.2958984375,16327.8603515625,32775.8203125
40,2023-12-06,52787,53271,52012,52594,10810,-0.55025054363241,360707000.0,552000.0,-94018000.0,-267241000.0,2.54,0.24,1.84,2495.3798828125,4567.18017578125,14229.91015625,3672.39990234375,2968.93310546875,16463.259765625,33445.8984375
41,2023-12-07,51916,52109,50850,52110,9700,-0.9202570635433699,-73949000.0,0.0,-7630000.0,81579000.0,2.52,0.24,1.86,2492.070068359375,4549.33984375,14146.7099609375,3645.820068359375,2966.2060546875,16345.8896484375,32858.30859375
42,2023-12-08,51626,52594,50560,51045,10380,-2.0437535981577435,64954000.0,527000.0,38006000.0,-103487000.0,2.47,0.23,1.9,2517.85009765625,4585.58984375,14339.990234375,3747.5400390625,2969.55908203125,16334.3701171875,32307.859375
43,2023-12-11,50366,51335,50366,51335,10460,0.5681261631893427,26461000.0,0.0,41094000.0,-67555000.0,2.48,0.23,1.89,2525.360107421875,4604.3701171875,14403.9697265625,3774.169921875,2991.43896484375,16201.490234375,32791.80078125
44,2023-12-12,51819,52206,50560,50560,12540,-1.509691243790786,181759000.0,-12000.0,49980000.0,-231727000.0,2.45,0.23,1.92,2535.27001953125,4622.43994140625,14432.490234375,3902.389892578125,3003.43798828125,16374.5,32843.69921875
45,2023-12-13,50173,51044,49689,49689,13830,-1.7227056962025318,-86304000.0,0.0,72066000.0,14238000.0,2.4,0.23,1.95,2510.659912109375,4643.7001953125,14533.400390625,3930.179931640625,2968.760986328125,16228.75,32926.3515625
46,2023-12-14,50462,51334,48186,48429,35410,-2.5357725049809816,-345560000.0,0.0,139224000.0,206336000.0,2.34,0.22,2.0,2544.179931640625,4707.08984375,14733.9599609375,3990.949951171875,2958.986083984375,16402.189453125,32686.25
47,2023-12-15,48913,49688,48332,49107,20330,1.3999876107291085,-90782000.0,2000.0,-156039500.0,246819500.0,2.38,0.22,1.97,2563.56005859375,4719.5498046875,14761.5595703125,4097.47021484375,2942.556884765625,16792.189453125,32970.55078125
48,2023-12-18,49010,49688,48429,48623,16260,-0.9856028672083409,-189692000.0,503000.0,10956000.0,178233000.0,2.35,0.22,1.99,2566.860107421875,4719.18994140625,14813.919921875,4117.0,2930.800048828125,16629.23046875,32758.98046875
49,2023-12-19,48622,49301,48526,49301,10280,1.3944018262961972,-46467000.0,503000.0,195000.0,45769000.0,2.38,0.22,1.96,2568.550048828125,4740.56005859375,14904.8095703125,4103.7900390625,2932.39111328125,16505.0,33219.390625
50,2023-12-20,49301,50754,49301,50173,12570,1.7687268006734143,442942000.0,-1031000.0,-308000000.0,-133911000.0,2.43,0.23,1.93,2614.300048828125,4768.3701171875,15003.2197265625,4125.56005859375,2902.110107421875,16613.810546875,33675.94140625
51,2023-12-21,50076,50463,48913,49495,15250,-1.3513244175153967,-344438000.0,511000.0,222142000.0,121785000.0,2.39,0.22,1.96,2600.02001953125,4698.35009765625,14777.9404296875,4007.659912109375,2918.715087890625,16621.130859375,33140.46875
52,2023-12-22,49882,49882,49204,49689,8670,0.39195878371552684,-64595000.0,0.0,56013000.0,8582000.0,2.4,0.23,1.95,2599.510009765625,4746.75,14963.8701171875,4118.58984375,2914.77490234375,16340.41015625,33169.05078125
53,2023-12-26,50076,50076,49301,50076,12390,0.7788444122441587,38075000.0,51381000.0,-173713000.0,84257000.0,2.42,0.23,1.93,2602.590087890625,,,,2898.8798828125,,33305.8515625
54,2023-12-27,50076,50366,49204,50173,13920,0.19370556753734322,50435000.0,-514000.0,320332000.0,-370253000.0,2.43,0.23,1.93,2613.5,4774.75,15074.5703125,4207.4501953125,2914.614013671875,16624.83984375,33681.23828125
55,2023-12-28,50366,50850,49591,49979,13080,-0.38666214896458256,373537000.0,0.0,-212808000.0,-160729000.0,2.42,0.23,1.94,2655.280029296875,4781.580078125,15099.1796875,4214.58984375,2954.7041015625,17043.529296875,33539.62109375
56,2024-01-02,49494,50559,49494,49785,5840,-0.3881630284719582,70688000.0,515000.0,-4379000.0,-66824000.0,2.41,0.23,1.95,2669.81005859375,4769.830078125,15011.349609375,4175.47021484375,2962.27587890625,16788.55078125,
57,2024-01-03,49398,49979,48913,49495,10670,-0.5825047705132068,-273060000.0,0.0,235051000.0,38009000.0,2.39,0.22,1.96,2607.31005859375,4742.830078125,14765.9404296875,4023.0400390625,2967.2470703125,16646.41015625,
58,2024-01-04,49204,49785,48913,49398,9340,-0.19597939185776342,-156729000.0,511000.0,133001000.0,23217000.0,2.39,0.22,1.96,2587.02001953125,4704.81005859375,14592.2099609375,3941.2099609375,2954.34912109375,16645.98046875,33288.2890625
59,2024-01-05,49204,50366,49107,49301,5320,-0.19636422527227823,-72684000.0,0.0,52407000.0,20277000.0,2.38,0.22,1.96,2578.080078125,4688.68017578125,14510.2998046875,3908.85009765625,2929.179931640625,16535.330078125,33377.421875
60,2024-01-08,49978,49978,49107,49107,8260,-0.39350114602137887,-34821000.0,-508000.0,24948000.0,10381000.0,2.38,0.22,1.97,2567.820068359375,4697.240234375,14524.0703125,3933.489990234375,2887.5380859375,16224.4501953125,
61,2024-01-09,50076,50076,49301,49592,4760,0.9876392367686887,42237000.0,0.0,-38709000.0,-3528000.0,2.4,0.23,1.95,2561.239990234375,4763.5400390625,14843.76953125,4062.47998046875,2893.25,16190.01953125,33763.1796875
62,2024-01-10,49592,49688,49011,49011,4310,-1.1715599290208096,5216000.0,506000.0,103435000.0,-109157000.0,2.37,0.22,1.98,2541.97998046875,4756.5,14857.7099609375,4064.64990234375,2877.701904296875,16097.2802734375,34441.71875
63,2024-01-11,49011,49398,48429,49011,15350,0.0,-318643000.0,0.0,442525000.0,-123882000.0,2.37,0.22,1.98,2540.27001953125,4783.4501953125,14969.650390625,4048.840087890625,2886.64990234375,16302.0400390625,35049.859375
