,date,open,high,low,close,volume,chg_pct,inst_sum,inst_ext,retail,foreign,per,pbr,div,KOSPI,SP500_US(-1),NASDAQ_US(-1),SOX_US(-1),SHANGHAI,HANGSENG,NIKKEI
0,2023-10-11,51200,53200,51200,51500,1464875,3.5175879396984926,-1733892000,918101300,-9121938400,9937729100,54.85,12.85,0.39,2450.080078125,,,,3078.9560546875,17893.099609375,31936.509765625
1,2023-10-12,52900,55800,52300,55700,2638760,8.155339805825243,3238777000,955590800,-23238545000,19044177200,59.32,13.9,0.36,2479.820068359375,4376.9501953125,13659.6796875,3537.830078125,3107.90087890625,18238.2109375,32494.66015625
2,2023-10-13,55200,59400,54700,57300,3977838,2.872531418312388,4443990500,782306700,-12682805500,7456508300,61.02,14.3,0.35,2456.14990234375,4349.60986328125,13574.2197265625,3548.6201171875,3088.10009765625,17813.44921875,32315.990234375
3,2023-10-16,56400,58400,55800,58400,2137969,1.9197207678883073,-357852800,-389448100,9228061100,-8480760200,62.19,14.57,0.34,2436.239990234375,4327.77978515625,13407.23046875,3452.969970703125,3073.81298828125,17640.359375,31659.029296875
4,2023-10-17,58900,59600,56600,58900,2232466,0.8561643835616438,3440107500,409618600,-3866933700,17207600,62.73,14.7,0.34,2460.169921875,4373.6298828125,13567.98046875,3502.510009765625,3083.5,17773.33984375,32040.2890625
5,2023-10-18,57100,59000,56700,58500,1385962,-0.6791171477079796,11907469800,-134823900,-9001433400,-2771212500,62.3,14.6,0.34,2462.60009765625,4373.2001953125,13533.75,3474.659912109375,3058.7099609375,17732.51953125,32042.25
6,2023-10-19,57300,61700,57200,58700,3210534,0.3418803418803419,10326715800,586811700,-9401839400,-1511688100,62.51,14.65,0.34,2415.800048828125,4314.60009765625,13314.2998046875,3413.449951171875,3005.39306640625,17295.890625,31430.619140625
7,2023-10-20,58400,59900,56500,58500,2110682,-0.34071550255536626,9361866700,491481900,-8568668100,-1284680500,62.3,14.6,0.34,2375.0,4278.0,13186.1796875,3367.77001953125,2983.06005859375,17172.130859375,31259.359375
8,2023-10-23,58400,59000,55200,55400,1503157,-5.299145299145299,9148726200,-343561400,-1883577900,-6921586900,59.0,13.82,0.36,2357.02001953125,4224.16015625,12983.8095703125,3316.139892578125,2939.291015625,,30999.55078125
9,2023-10-24,56200,58800,55800,58600,1398469,5.776173285198556,4301808700,159956800,-17603492800,13141727300,62.41,14.62,0.34,2383.510009765625,4217.0400390625,13018.330078125,3298.5400390625,2962.243896484375,16991.529296875,31062.349609375
10,2023-10-25,59000,61700,58800,59500,2266337,1.5358361774744027,117352200,-24846200,-7090097400,6997591400,63.37,14.85,0.34,2363.169921875,4247.68017578125,13139.8701171875,3343.93994140625,2974.114013671875,17085.330078125,31269.919921875
11,2023-10-26,56000,59400,55800,58100,1530847,-2.3529411764705883,7696087700,-706608500,-8361995600,1372516400,61.87,14.5,0.34,2299.080078125,4186.77001953125,12821.2197265625,3205.840087890625,2988.299072265625,17044.609375,30601.779296875
12,2023-10-27,59000,59200,56400,57200,1078348,-1.549053356282272,1467489700,-453063600,10200818600,-11215244700,60.92,14.27,0.35,2302.81005859375,4137.22998046875,12595.6103515625,3188.419921875,3017.783935546875,17398.73046875,30991.689453125
13,2023-10-30,56500,57600,56100,57000,663365,-0.34965034965034963,211583100,-41355700,2906046700,-3076274100,60.7,14.22,0.35,2310.550048828125,4117.3701171875,12643.009765625,3227.090087890625,3021.552978515625,17406.359375,30696.9609375
14,2023-10-31,57400,58100,51600,52500,2167824,-7.894736842105263,-13421658700,-433702700,18834616300,-4979254900,55.91,13.1,0.38,2277.989990234375,4166.81982421875,12789.48046875,3185.179931640625,3018.77099609375,17112.48046875,30858.849609375
15,2023-11-01,53000,54500,51600,52700,1001234,0.38095238095238093,-3809262100,73655400,-1257029100,4992635800,56.12,13.15,0.38,2301.56005859375,4193.7998046875,12851.240234375,3215.889892578125,3023.076904296875,17101.779296875,31601.650390625
16,2023-11-02,55300,57700,54300,57400,1580494,8.918406072106261,1004348500,509363700,-15440189400,13926477200,61.13,14.32,0.35,2343.1201171875,4237.85986328125,13061.4697265625,3290.949951171875,3009.406005859375,17230.58984375,31949.890625
17,2023-11-03,58300,58600,56000,56500,1083856,-1.5679442508710801,-3539247200,215086900,10755072700,-7430912400,60.17,14.1,0.35,2368.340087890625,4317.77978515625,13294.1904296875,3368.5400390625,3030.798095703125,17664.119140625,
18,2023-11-06,57700,58700,55800,58500,1676140,3.5398230088495577,-2398523800,961612300,-13896266400,15333177900,62.3,14.6,0.34,2502.3701171875,4358.33984375,13478.2802734375,3454.570068359375,3058.410888671875,17966.58984375,32708.48046875
19,2023-11-07,58100,66500,57700,62600,6462160,7.0085470085470085,-2976525600,1139481100,-32856774400,34693818900,66.67,15.62,0.32,2443.9599609375,4365.97998046875,13518.7802734375,3444.889892578125,3057.27001953125,17670.16015625,32271.8203125
20,2023-11-08,63100,64500,59600,60800,2610160,-2.8753993610223643,1015456100,187296800,4985318000,-6188070900,64.75,15.17,0.33,2421.6201171875,4378.3798828125,13639.8603515625,3471.4599609375,3052.373046875,17568.4609375,32166.48046875
21,2023-11-09,61100,62300,60100,61500,1334881,1.151315789473684,6938607500,-149002700,-9023977900,2234373100,65.5,15.34,0.33,2427.080078125,4382.77978515625,13650.41015625,3472.669921875,3053.279052734375,17511.2890625,32646.4609375
22,2023-11-10,61400,67900,60400,66300,4111622,7.804878048780488,4023107800,1716812000,-42511202900,36771283100,70.61,16.54,0.3,2409.659912109375,4347.35009765625,13521.4501953125,3452.340087890625,3038.969970703125,17203.259765625,32568.109375
23,2023-11-13,61100,63300,56500,57800,7178821,-12.82051282051282,-9508372100,-561167000,77572999100,-67503460000,61.55,14.42,0.35,2403.760009765625,4415.240234375,13798.1103515625,3591.739990234375,3046.532958984375,17426.2109375,32585.109375
24,2023-11-14,58300,60000,57000,59500,2266601,2.941176470588235,466697200,-1038462300,38208800,533556300,63.37,14.85,0.34,2433.25,4411.5498046875,13767.740234375,3556.75,3056.070068359375,17396.859375,32695.9296875
