,date,open,high,low,close,volume,chg_pct,inst_sum,inst_ext,retail,foreign,per,pbr,div,KOSPI,SP500_US(-1),NASDAQ_US(-1),SOX_US(-1),SHANGHAI,HANGSENG,NIKKEI
0,2023-10-11,168100,173300,167800,171500,107326,4.445797807551767,1649104200,-4211700,-1385944800,-258947700,12.16,2.44,1.22,2450.080078125,,,,3078.9560546875,17893.099609375,31936.509765625
1,2023-10-12,173000,173300,170100,171600,52660,0.05830903790087463,2377072300,53565000,716640400,-3147277700,12.17,2.45,1.22,2479.820068359375,4376.9501953125,13659.6796875,3537.830078125,3107.90087890625,18238.2109375,32494.66015625
2,2023-10-13,170200,173000,168000,168700,49544,-1.68997668997669,-1181591800,-50519000,203239400,1028871400,11.97,2.4,1.24,2456.14990234375,4349.60986328125,13574.2197265625,3548.6201171875,3088.10009765625,17813.44921875,32315.990234375
3,2023-10-16,168500,169100,161000,164000,95810,-2.7860106698280975,-539641100,-63175300,529886400,72930000,11.63,2.34,1.28,2436.239990234375,4327.77978515625,13407.23046875,3452.969970703125,3073.81298828125,17640.359375,31659.029296875
4,2023-10-17,165300,171000,164400,168500,63131,2.7439024390243905,-1083043700,165403200,-431382300,1349022800,11.95,2.4,1.25,2460.169921875,4373.6298828125,13567.98046875,3502.510009765625,3083.5,17773.33984375,32040.2890625
5,2023-10-18,168600,170900,166600,167600,66700,-0.5341246290801187,782681900,112640700,228901200,-1124223800,11.89,2.39,1.25,2462.60009765625,4373.2001953125,13533.75,3474.659912109375,3058.7099609375,17732.51953125,32042.25
6,2023-10-19,165400,166000,160400,162000,61061,-3.341288782816229,337824600,192764700,2272673700,-2803263000,11.49,2.31,1.3,2415.800048828125,4314.60009765625,13314.2998046875,3413.449951171875,3005.39306640625,17295.890625,31430.619140625
7,2023-10-20,159100,161500,144000,152500,207377,-5.864197530864197,897764700,-202642900,4736899300,-5432021100,10.82,2.17,1.38,2375.0,4278.0,13186.1796875,3367.77001953125,2983.06005859375,17172.130859375,31259.359375
8,2023-10-23,152000,154800,151000,152700,47539,0.13114754098360656,-1020802600,-9242100,-852845900,1882890600,10.83,2.18,1.38,2357.02001953125,4224.16015625,12983.8095703125,3316.139892578125,2939.291015625,,30999.55078125
9,2023-10-24,153900,156800,149500,156200,61329,2.2920759659463,-1103230900,-131421100,-619158900,1853810900,11.08,2.23,1.34,2383.510009765625,4217.0400390625,13018.330078125,3298.5400390625,2962.243896484375,16991.529296875,31062.349609375
10,2023-10-25,156400,156600,153600,154600,48312,-1.0243277848911652,262053300,19252600,237702100,-519008000,10.97,2.2,1.36,2363.169921875,4247.68017578125,13139.8701171875,3343.93994140625,2974.114013671875,17085.330078125,31269.919921875
11,2023-10-26,152000,152600,145600,148200,61097,-4.139715394566624,-498887800,6143300,1088996400,-596251900,10.51,2.11,1.42,2299.080078125,4186.77001953125,12821.2197265625,3205.840087890625,2988.299072265625,17044.609375,30601.779296875
