,date,open,high,low,close,volume,chg_pct,inst_sum,inst_ext,retail,foreign,per,pbr,div,KOSPI,SP500_US(-1),NASDAQ_US(-1),SOX_US(-1),SHANGHAI,HANGSENG,NIKKEI
0,2023-10-11,12490,12560,12000,12520,918489,0.0,1215334680,-274197570,890258730,-1831395840,0.0,1.17,2.0,2450.080078125,,,,3078.9560546875,17893.099609375,31936.509765625
1,2023-10-12,12600,12690,12440,12570,571089,0.3993610223642172,1050673270,-23212860,-757057840,-270402570,0.0,1.18,1.99,2479.820068359375,4376.9501953125,13659.6796875,3537.830078125,3107.90087890625,18238.2109375,32494.66015625
2,2023-10-13,12450,12830,12350,12760,809769,1.511535401750199,635303510,402569510,-667308200,-370564820,0.0,1.19,1.96,2456.14990234375,4349.60986328125,13574.2197265625,3548.6201171875,3088.10009765625,17813.44921875,32315.990234375
3,2023-10-16,12850,13040,12600,12680,1042235,-0.6269592476489028,2850153160,-278876090,204076450,-2775353520,0.0,1.19,1.97,2436.239990234375,4327.77978515625,13407.23046875,3452.969970703125,3073.81298828125,17640.359375,31659.029296875
4,2023-10-17,12800,12880,12520,12580,505485,-0.7886435331230284,657182260,1046540,386787060,-1045015860,0.0,1.18,1.99,2460.169921875,4373.6298828125,13567.98046875,3502.510009765625,3083.5,17773.33984375,32040.2890625
5,2023-10-18,12650,12890,12490,12520,418570,-0.47694753577106513,-124876420,59386540,241158190,-175668310,0.0,1.17,2.0,2462.60009765625,4373.2001953125,13533.75,3474.659912109375,3058.7099609375,17732.51953125,32042.25
6,2023-10-19,12430,12460,12170,12200,531341,-2.5559105431309903,-285872950,11145860,388311780,-113584690,0.0,1.14,2.05,2415.800048828125,4314.60009765625,13314.2998046875,3413.449951171875,3005.39306640625,17295.890625,31430.619140625
7,2023-10-20,11970,12310,11930,11940,498546,-2.1311475409836063,-103196810,3720860,299797970,-200322020,0.0,1.12,2.09,2375.0,4278.0,13186.1796875,3367.77001953125,2983.06005859375,17172.130859375,31259.359375
8,2023-10-23,11770,12420,11730,12370,763117,3.6013400335008376,2671220250,-67312850,-1793698950,-810208450,0.0,1.16,2.02,2357.02001953125,4224.16015625,12983.8095703125,3316.139892578125,2939.291015625,,30999.55078125
9,2023-10-24,12400,12430,11740,12010,738463,-2.9102667744543247,-138809840,11392420,3518905910,-3391488490,0.0,1.12,2.08,2383.510009765625,4217.0400390625,13018.330078125,3298.5400390625,2962.243896484375,16991.529296875,31062.349609375
10,2023-10-25,12030,12570,12030,12450,1026626,3.6636136552872607,1859412450,-8256660,-3764766010,1913610220,0.0,1.16,2.01,2363.169921875,4247.68017578125,13139.8701171875,3343.93994140625,2974.114013671875,17085.330078125,31269.919921875
11,2023-10-26,12200,12450,11800,11840,846732,-4.899598393574297,-2192732750,-28236910,3792928020,-1571958360,0.0,1.11,2.11,2299.080078125,4186.77001953125,12821.2197265625,3205.840087890625,2988.299072265625,17044.609375,30601.779296875
12,2023-10-27,11830,11880,11650,11740,430972,-0.8445945945945946,9974760,-4900170,500116200,-505190790,0.0,1.1,2.13,2302.81005859375,4137.22998046875,12595.6103515625,3188.419921875,3017.783935546875,17398.73046875,30991.689453125
13,2023-10-30,11740,13190,11740,12970,3203387,10.477001703577512,1964818010,119284960,-6372897120,4288794150,0.0,1.21,1.93,2310.550048828125,4117.3701171875,12643.009765625,3227.090087890625,3021.552978515625,17406.359375,30696.9609375
14,2023-10-31,13170,13500,12600,12700,2929654,-2.081727062451812,1237906670,-94057760,5707691080,-6851539990,0.0,1.19,1.97,2277.989990234375,4166.81982421875,12789.48046875,3185.179931640625,3018.77099609375,17112.48046875,30858.849609375
15,2023-11-01,12870,13280,12840,12990,1484431,2.283464566929134,2338685570,21998950,-3014330720,653646200,0.0,1.21,1.92,2301.56005859375,4193.7998046875,12851.240234375,3215.889892578125,3023.076904296875,17101.779296875,31601.650390625
16,2023-11-02,13170,13350,12920,13300,1267148,2.386451116243264,1494644490,-10414850,-3706720330,2222490690,0.0,1.24,1.88,2343.1201171875,4237.85986328125,13061.4697265625,3290.949951171875,3009.406005859375,17230.58984375,31949.890625
17,2023-11-03,13410,13740,13410,13640,1404901,2.556390977443609,3802405260,-6317560,-5267030560,1470942860,0.0,1.28,1.83,2368.340087890625,4317.77978515625,13294.1904296875,3368.5400390625,3030.798095703125,17664.119140625,
18,2023-11-06,13870,13870,13350,13700,1219988,0.43988269794721413,638642200,221091340,-405445190,-454288350,0.0,1.28,1.82,2502.3701171875,4358.33984375,13478.2802734375,3454.570068359375,3058.410888671875,17966.58984375,32708.48046875
