,date,open,high,low,close,volume,chg_pct,inst_sum,inst_ext,retail,foreign,per,pbr,div,KOSPI,SP500_US(-1),NASDAQ_US(-1),SOX_US(-1),SHANGHAI,HANGSENG,NIKKEI
0,2023-10-11,103188,106244,100234,105532,444090,2.573772403872322,3941187100.0,-670576100.0,-9494863000.0,6224252000.0,26.14,1.83,0.97,2450.080078125,,,,3078.9560546875,17893.099609375,31936.509765625
1,2023-10-12,106447,109198,105938,106958,376794,1.3512489102831369,-954052300.0,-161866500.0,-2345588300.0,3461507100.0,26.49,1.85,0.95,2479.820068359375,4376.9501953125,13659.6796875,3537.830078125,3107.90087890625,18238.2109375,32494.66015625
2,2023-10-13,105939,108282,104920,107977,251221,0.9527104096935246,-114971100.0,68147300.0,1431822800.0,-1384999000.0,26.74,1.87,0.94,2456.14990234375,4349.60986328125,13574.2197265625,3548.6201171875,3088.10009765625,17813.44921875,32315.990234375
3,2023-10-16,107976,110522,103087,103291,537471,-4.339813108347148,-3475943300.0,-408114800.0,11031020300.0,-7146962200.0,25.58,1.79,0.99,2436.239990234375,4327.77978515625,13407.23046875,3452.969970703125,3073.81298828125,17640.359375,31659.029296875
4,2023-10-17,103800,105327,101864,102171,350505,-1.0843151871895904,-3219435300.0,8150300.0,2119229900.0,1092055100.0,25.3,1.77,1.0,2460.169921875,4373.6298828125,13567.98046875,3502.510009765625,3083.5,17773.33984375,32040.2890625
5,2023-10-18,102578,104921,100337,101662,458931,-0.4981844163216568,-1623651600.0,438321100.0,5609023400.0,-4423692900.0,25.18,1.76,1.0,2462.60009765625,4373.2001953125,13533.75,3474.659912109375,3058.7099609375,17732.51953125,32042.25
6,2023-10-19,100337,101151,98299,99115,329437,-2.5053609018118865,-111048200.0,53760600.0,-1671187100.0,1728474700.0,24.55,1.72,1.03,2415.800048828125,4314.60009765625,13314.2998046875,3413.449951171875,3005.39306640625,17295.890625,31430.619140625
7,2023-10-20,98604,100540,94733,95753,405962,-3.3920193714372195,-463397600.0,-46663400.0,-2909595300.0,3419656300.0,23.71,1.66,1.06,2375.0,4278.0,13186.1796875,3367.77001953125,2983.06005859375,17172.130859375,31259.359375
8,2023-10-23,91881,103087,91881,102171,670534,6.7026620575856635,3990639300.0,-62506000.0,-11229643000.0,7301509700.0,25.3,1.77,1.0,2357.02001953125,4224.16015625,12983.8095703125,3316.139892578125,2939.291015625,,30999.55078125
9,2023-10-24,102884,103800,98809,101662,393426,-0.4981844163216568,1415535300.0,635917700.0,3147253200.0,-5198706200.0,25.18,1.76,1.0,2383.510009765625,4217.0400390625,13018.330078125,3298.5400390625,2962.243896484375,16991.529296875,31062.349609375
10,2023-10-25,102577,107976,101966,102884,521800,1.2020223879128877,1069263500.0,65079300.0,234215800.0,-1368558600.0,25.48,1.78,0.99,2363.169921875,4247.68017578125,13139.8701171875,3343.93994140625,2974.114013671875,17085.330078125,31269.919921875
11,2023-10-26,101559,103596,99929,101458,344216,-1.3860269818436297,7110598000.0,47624300.0,-1342842400.0,-5815379900.0,25.13,1.76,1.0,2299.080078125,4186.77001953125,12821.2197265625,3205.840087890625,2988.299072265625,17044.609375,30601.779296875
12,2023-10-27,101456,102170,99317,99420,278845,-2.008712964970727,4237372100.0,133240300.0,37806700.0,-4408419100.0,24.62,1.72,1.02,2302.81005859375,4137.22998046875,12595.6103515625,3188.419921875,3017.783935546875,17398.73046875,30991.689453125
13,2023-10-30,99725,106651,99622,103596,530442,4.20036210018105,2147853800.0,-100397300.0,-9093162000.0,7045705500.0,25.66,1.8,0.98,2310.550048828125,4117.3701171875,12643.009765625,3227.090087890625,3021.552978515625,17406.359375,30696.9609375
14,2023-10-31,103902,105124,100438,102884,573303,-0.6872852233676976,13314130500.0,349048000.0,1519123900.0,-15182302400.0,25.48,1.78,0.99,2277.989990234375,4166.81982421875,12789.48046875,3185.179931640625,3018.77099609375,17112.48046875,30858.849609375
15,2023-11-01,105327,116227,104513,115617,1415587,12.376074025115665,26402182700.0,-757439700.0,-35612478400.0,9967735400.0,28.63,2.0,0.88,2301.56005859375,4193.7998046875,12851.240234375,3215.889892578125,3023.076904296875,17101.779296875,31601.650390625
16,2023-11-02,117553,118876,113783,117553,739186,1.6744942352768193,13831371300.0,404473100.0,-12797176900.0,-1438667500.0,29.11,2.04,0.87,2343.1201171875,4237.85986328125,13061.4697265625,3290.949951171875,3009.406005859375,17230.58984375,31949.890625
17,2023-11-03,117551,123256,117449,122238,784547,3.9854363563669155,-1260555100.0,711605900.0,-17545950100.0,18094899300.0,30.27,2.12,0.83,2368.340087890625,4317.77978515625,13294.1904296875,3368.5400390625,3030.798095703125,17664.119140625,
18,2023-11-06,124376,124580,120913,123970,607995,1.4169079991492008,1233237500.0,-557687300.0,-10375770500.0,9700220300.0,30.7,2.15,0.82,2502.3701171875,4358.33984375,13478.2802734375,3454.570068359375,3058.410888671875,17966.58984375,32708.48046875
19,2023-11-07,123663,127229,123562,126211,534438,1.8076954101798821,227944800.0,-447384400.0,-12840992100.0,13060431700.0,31.26,2.19,0.81,2443.9599609375,4365.97998046875,13518.7802734375,3444.889892578125,3057.27001953125,17670.16015625,32271.8203125
20,2023-11-08,126822,126923,122136,124072,309228,-1.694780962039759,2710899200.0,-215444300.0,-3250500700.0,755045800.0,30.73,2.15,0.82,2421.6201171875,4378.3798828125,13639.8603515625,3471.4599609375,3052.373046875,17568.4609375,32166.48046875
21,2023-11-09,123664,128146,123461,126619,362186,2.0528402862853827,9683828200.0,-289134000.0,-10081138200.0,686444000.0,31.36,2.2,0.8,2427.080078125,4382.77978515625,13650.41015625,3472.669921875,3053.279052734375,17511.2890625,32646.4609375
22,2023-11-10,125701,128044,124580,127128,282007,0.40199338171996307,6634562000.0,-145522800.0,-5652608600.0,-836430600.0,31.48,2.2,0.8,2409.659912109375,4347.35009765625,13521.4501953125,3452.340087890625,3038.969970703125,17203.259765625,32568.109375
23,2023-11-13,127126,130080,126413,127433,296124,0.23991567553961363,6569654600.0,-485746300.0,-4077591100.0,-2006317200.0,31.56,2.21,0.8,2403.760009765625,4415.240234375,13798.1103515625,3591.739990234375,3046.532958984375,17426.2109375,32585.109375
24,2023-11-14,128349,130896,127840,130184,307100,2.1587814773253395,8959287600.0,109107600.0,-9672709400.0,604314200.0,32.24,2.26,0.78,2433.25,4411.5498046875,13767.740234375,3556.75,3056.070068359375,17396.859375,32695.9296875
25,2023-11-15,130897,132119,128961,130897,360056,0.5476863516253917,4925102400.0,567396800.0,-1686662400.0,-3805836800.0,32.42,2.27,0.78,2486.669921875,4495.7001953125,14094.3798828125,3685.570068359375,3072.8349609375,18079.0,33519.69921875
26,2023-11-16,129878,129979,121830,122748,758628,-6.225505550165397,3091552600.0,-338046400.0,10045229900.0,-12798736100.0,30.4,2.13,0.83,2488.179931640625,4502.8798828125,14103.83984375,3712.090087890625,3050.926025390625,17832.8203125,33424.41015625
27,2023-11-17,122542,124172,118875,123562,427915,0.66314726105517,5403754200.0,379633500.0,-4302098200.0,-1481289500.0,30.6,2.14,0.82,2469.85009765625,4508.240234375,14113.669921875,3724.10009765625,3054.3701171875,17454.189453125,33585.19921875
28,2023-11-20,123154,124274,121320,123562,233929,0.0,4462273500.0,-225094300.0,-1911221800.0,-2325957400.0,30.6,2.14,0.82,2491.199951171875,4514.02001953125,14125.48046875,3748.64990234375,3068.319091796875,17778.0703125,33388.03125
29,2023-11-21,123460,124580,122034,122238,230758,-1.0715268448228419,-1931608500.0,-610376200.0,3299433800.0,-757449100.0,30.27,2.12,0.83,2510.419921875,4547.3798828125,14284.5302734375,3805.81005859375,3067.93310546875,17733.890625,33354.140625
30,2023-11-22,122034,123969,121219,123155,228313,0.7501758863855756,1698166000.0,283174000.0,-5616485600.0,3635145600.0,30.5,2.14,0.83,2511.699951171875,4538.18994140625,14199.98046875,3732.7900390625,3043.611083984375,17734.599609375,33451.828125
31,2023-11-23,124275,125192,122441,124174,220067,0.8274126101254516,951716300.0,71716900.0,-239281600.0,-784151600.0,30.75,2.15,0.82,2514.9599609375,4556.6201171875,14265.8603515625,3744.9599609375,3061.85595703125,17910.83984375,
32,2023-11-24,124274,124580,122237,122340,153636,-1.4769597500281861,643682500.0,17482200.0,-727753500.0,66588800.0,30.3,2.12,0.83,2496.6298828125,,,,3040.971923828125,17559.419921875,33625.53125
33,2023-11-27,123255,123459,120505,120608,188365,-1.41572666339709,-323524000.0,120708800.0,-489797400.0,692612600.0,29.87,2.09,0.84,2495.659912109375,4559.33984375,14250.849609375,3747.929931640625,3031.699951171875,17525.060546875,33447.671875
34,2023-11-28,121015,122135,120098,121729,257751,0.9294574157601485,2876579300.0,1496600.0,1526808000.0,-4404883900.0,30.15,2.11,0.84,2521.760009765625,4550.43017578125,14241.01953125,3739.31005859375,3038.550048828125,17354.140625,33408.390625
35,2023-11-29,122135,129063,120404,125396,880067,3.0124292485767565,17396389800.0,1871348000.0,12719347800.0,-31987085600.0,31.05,2.17,0.81,2519.81005859375,4554.89013671875,14281.759765625,3718.35009765625,3021.68701171875,16993.439453125,33321.21875
36,2023-11-30,124071,129674,124071,128249,922405,2.275192191138473,15340672500.0,1529901300.0,6097319200.0,-22967893000.0,31.76,2.22,0.79,2535.2900390625,4550.580078125,14258.490234375,3753.360107421875,3029.673095703125,17042.880859375,33486.890625
37,2023-12-01,128247,140981,128146,138537,1828327,8.021894907562633,9347534600.0,-637902400.0,-28914622300.0,20204990100.0,34.31,2.4,0.74,2505.010009765625,4567.7998046875,14226.2197265625,3724.580078125,3031.635986328125,16830.30078125,33431.51171875
