,date,open,high,low,close,volume,chg_pct,inst_sum,inst_ext,retail,foreign,per,pbr,div,KOSPI,SP500_US(-1),NASDAQ_US(-1),SOX_US(-1),SHANGHAI,HANGSENG,NIKKEI
0,2023-10-11,35700,36000,35300,35550,551739,0.708215297450425,1470205600,15227350,-401448950,-1083984000,4.6,0.25,2.81,2450.080078125,,,,3078.9560546875,17893.099609375,31936.509765625
1,2023-10-12,35900,35950,34400,35300,761860,-0.7032348804500703,-2120087150,251845150,3058491000,-1190249000,4.56,0.25,2.83,2479.820068359375,4376.9501953125,13659.6796875,3537.830078125,3107.90087890625,18238.2109375,32494.66015625
2,2023-10-13,34700,34750,33550,33650,809572,-4.674220963172805,-6211959600,52675050,11751688600,-5592404050,4.35,0.24,2.97,2456.14990234375,4349.60986328125,13574.2197265625,3548.6201171875,3088.10009765625,17813.44921875,32315.990234375
3,2023-10-16,33650,34000,33200,33750,394548,0.2971768202080238,-901844700,-117556400,1732340750,-712939650,4.36,0.24,2.96,2436.239990234375,4327.77978515625,13407.23046875,3452.969970703125,3073.81298828125,17640.359375,31659.029296875
4,2023-10-17,34000,34000,33200,33250,408114,-1.4814814814814816,-2054145850,1483100,4759843650,-2707180900,4.3,0.23,3.01,2460.169921875,4373.6298828125,13567.98046875,3502.510009765625,3083.5,17773.33984375,32040.2890625
5,2023-10-18,33300,33650,33200,33250,392969,0.0,-2076256900,214995850,1862636350,-1375300,4.3,0.23,3.01,2462.60009765625,4373.2001953125,13533.75,3474.659912109375,3058.7099609375,17732.51953125,32042.25
6,2023-10-19,32750,32850,32250,32400,442111,-2.556390977443609,-2011497750,209064700,1745090200,57342850,4.19,0.23,3.09,2415.800048828125,4314.60009765625,13314.2998046875,3413.449951171875,3005.39306640625,17295.890625,31430.619140625
7,2023-10-20,32350,32650,31750,32100,501016,-0.9259259259259258,-793085200,232044400,1893501450,-1332460650,4.15,0.23,3.12,2375.0,4278.0,13186.1796875,3367.77001953125,2983.06005859375,17172.130859375,31259.359375
8,2023-10-23,32100,32100,31550,31750,387496,-1.0903426791277258,-540637000,22924450,1736620700,-1218908150,4.1,0.22,3.15,2357.02001953125,4224.16015625,12983.8095703125,3316.139892578125,2939.291015625,,30999.55078125
9,2023-10-24,32050,32300,31200,32300,416373,1.7322834645669292,-1063175050,93271050,1167922400,-198018400,4.18,0.23,3.1,2383.510009765625,4217.0400390625,13018.330078125,3298.5400390625,2962.243896484375,16991.529296875,31062.349609375
