Name,Code,Score_1w,rsi30,momentum_pos,macd_cross,ema5_over_ema20,ema20_over_ema60,rs_plus,vol_120,vol_150,frg_own_1m_up,frg_3_pos,frg_5_pos,ins_3_pos,ins_5_pos
TKG휴켐스,069260,195.0,0,50,0,0,0,50,5,40,0,0,0,25,25
HD현대인프라코어,042670,185.0,0,40,0,0,0,50,5,20,0,20,20,20,10
한일시멘트,300720,185.0,0,40,0,0,10,50,5,30,0,0,0,25,25
이마트,139480,180.0,0,40,10,0,0,50,5,40,0,10,5,15,5
오리온홀딩스,001800,175.0,0,50,0,0,0,50,10,20,0,0,0,25,20
한국카본,017960,175.0,0,50,0,5,0,40,0,30,0,0,0,25,25
녹십자,006280,165.0,0,50,0,0,0,50,0,40,0,5,0,15,5
효성티앤씨,298020,165.0,0,50,0,0,0,50,15,20,0,0,0,20,10
롯데쇼핑,023530,160.0,0,50,10,0,0,40,0,30,0,0,0,20,10
한진칼,180640,160.0,0,50,0,0,10,50,0,40,0,5,5,0,0
두산밥캣,241560,155.0,0,40,0,0,0,50,10,10,0,0,0,25,20
강원랜드,035250,155.0,0,50,10,0,0,50,10,30,0,5,0,0,0
BNK금융지주,138930,150.0,10,20,10,0,0,40,10,30,0,20,10,0,0
제일기획,030000,150.0,0,40,0,0,0,50,10,20,0,15,15,0,0
동서,026960,150.0,0,40,0,0,0,40,0,20,0,0,0,25,25
신세계,004170,150.0,0,50,0,0,0,50,15,10,0,5,0,10,10
세아베스틸지주,001430,150.0,0,50,0,0,0,50,0,50,0,0,0,0,0
GS건설,006360,150.0,0,50,0,0,0,50,10,20,0,0,0,15,5
iM금융지주,139130,145.0,10,20,0,5,0,40,10,30,0,20,10,0,0
F&F,383220,145.0,0,50,10,0,0,30,5,20,0,0,0,20,10
대웅제약,069620,145.0,0,30,0,0,0,50,0,20,0,25,20,0,0
한국가스공사,036460,145.0,10,10,0,0,0,40,10,30,0,0,0,25,20
현대위아,011210,145.0,0,40,0,0,0,50,0,20,0,10,5,15,5
롯데칠성,005300,140.0,0,40,0,0,0,50,0,30,0,0,0,15,5
녹십자홀딩스,005250,140.0,0,50,0,0,0,40,0,50,0,0,0,0,0
KT,030200,135.0,0,40,0,0,0,50,10,30,0,0,0,5,0
LG씨엔에스,064400,135.0,0,40,0,0,10,50,5,20,0,0,0,5,5
KT&G,033780,135.0,10,40,10,5,0,30,10,0,0,15,15,0,0
코웨이,021240,135.0,0,40,10,5,0,30,10,10,0,0,0,20,10
하이트진로,000080,130.0,0,40,10,5,0,30,5,30,0,5,0,5,0
대우건설,047040,130.0,0,40,0,0,0,50,5,30,0,0,0,5,0
OCI홀딩스,010060,130.0,0,50,10,5,0,0,5,30,0,0,0,20,10
하이브,352820,130.0,0,50,0,5,0,30,25,0,0,0,0,15,5
영원무역홀딩스,009970,130.0,0,40,0,0,0,50,0,20,0,15,5,0,0
삼성카드,029780,125.0,0,40,10,0,0,40,0,30,0,0,0,5,0
DL이앤씨,375500,125.0,0,30,0,0,0,50,0,30,0,0,0,10,5
대상,001680,125.0,0,50,0,5,0,30,5,30,0,0,0,5,0
한국앤컴퍼니,000240,120.0,50,0,0,0,0,10,0,50,0,10,0,0,0
팬오션,028670,120.0,50,10,0,0,0,50,0,0,0,5,0,5,0
영풍,000670,120.0,30,10,0,0,0,20,0,40,0,15,5,0,0
LG,003550,120.0,0,30,0,0,0,30,5,30,0,10,5,10,0
HMM,011200,120.0,0,50,0,0,0,50,0,0,0,10,10,0,0
고려아연,010130,120.0,0,20,0,0,0,50,0,40,0,0,0,5,5
금호석유화학,011780,115.0,0,40,0,0,0,40,15,0,0,0,0,15,5
미스토홀딩스,081660,115.0,30,20,0,0,0,50,0,0,0,10,0,5,0
한화생명,088350,115.0,0,50,0,5,0,40,10,10,0,0,0,0,0
SK바이오팜,326030,115.0,10,10,0,0,0,40,0,0,0,25,25,5,0
씨에스윈드,112610,115.0,0,30,0,0,10,50,0,20,0,0,0,5,0
DN오토모티브,007340,110.0,10,20,0,0,0,50,0,0,0,0,0,20,10
CJ대한통운,000120,110.0,30,20,0,0,0,30,10,0,0,0,0,15,5
금호타이어,073240,110.0,30,20,0,0,0,50,0,0,0,0,0,10,0
HL만도,204320,110.0,30,0,0,0,0,50,20,0,0,0,0,10,0
한전기술,052690,110.0,0,20,0,0,0,40,0,40,0,5,0,5,0
미원에스씨,268280,110.0,0,50,0,0,0,40,5,10,0,0,0,5,0
더블유게임즈,192080,110.0,0,40,10,0,0,50,10,0,0,0,0,0,0
GS,078930,110.0,40,0,0,0,0,0,0,20,0,25,25,0,0
SK케미칼,285130,105.0,10,40,0,5,0,0,0,30,0,0,0,15,5
코스맥스,192820,105.0,0,30,0,5,0,50,10,0,0,0,0,10,0
동원산업,006040,105.0,0,50,10,5,0,0,10,30,0,0,0,0,0
포스코DX,022100,105.0,0,20,0,0,0,50,0,30,0,5,0,0,0
오뚜기,007310,105.0,0,40,0,0,0,10,5,0,0,0,0,25,25
한국금융지주,071050,105.0,0,20,10,10,0,10,5,40,0,5,5,0,0
DB손해보험,005830,100.0,10,40,10,0,0,30,0,0,0,0,0,10,0
한화시스템,272210,100.0,0,50,0,5,0,0,0,40,0,0,0,5,0
롯데케미칼,011170,100.0,0,50,10,5,0,0,5,10,0,0,0,15,5
GS리테일,007070,100.0,20,0,0,0,0,20,0,0,0,25,25,10,0
LG전자,066570,100.0,10,10,0,0,0,50,0,0,0,10,0,15,5
현대제철,004020,100.0,0,30,0,5,0,20,15,20,0,0,0,10,0
코오롱인더,120110,100.0,0,40,0,0,0,40,0,0,0,0,0,15,5
현대해상,001450,95.0,10,40,0,0,0,40,0,0,0,0,0,5,0
오리온,271560,95.0,0,40,10,5,0,10,0,0,0,10,0,15,5
현대글로비스,086280,95.0,0,20,0,0,0,50,10,0,0,10,5,0,0
이수스페셜티케미컬,457190,95.0,10,20,0,0,0,50,5,10,0,0,0,0,0
파라다이스,034230,90.0,20,20,0,0,0,30,0,0,0,0,0,10,10
에스엘,005850,90.0,20,0,0,0,0,50,0,0,0,10,5,5,0
HD한국조선해양,009540,90.0,10,10,0,0,0,20,0,0,0,25,25,0,0
대한유화,006650,90.0,0,40,10,0,0,30,0,0,0,5,0,5,0
현대건설,000720,90.0,0,10,0,0,0,50,10,20,0,0,0,0,0
삼성에스디에스,018260,90.0,10,0,0,0,0,50,0,0,0,10,10,10,0
한국항공우주,047810,90.0,0,20,0,0,0,30,5,20,0,5,5,5,0
기아,000270,90.0,0,10,0,0,0,50,0,0,0,20,10,0,0
현대모비스,012330,90.0,0,20,0,0,0,50,10,0,0,0,0,10,0
포스코퓨처엠,003670,90.0,10,20,0,0,0,40,20,0,0,0,0,0,0
두산로보틱스,454910,90.0,10,20,0,0,0,50,0,0,0,0,0,5,5
한전KPS,051600,90.0,20,0,0,0,0,30,10,10,0,0,0,10,10
LG이노텍,011070,90.0,0,20,0,0,0,50,0,0,0,10,0,5,5
LS,006260,85.0,0,30,0,5,0,0,10,30,0,0,0,10,0
한미약품,128940,85.0,0,40,0,5,0,0,10,0,0,0,0,20,10
삼성화재,000810,85.0,0,10,0,0,0,40,0,30,0,0,0,5,0
삼성전기,009150,85.0,10,20,0,0,0,50,0,0,0,0,0,5,0
현대차,005380,85.0,30,0,0,0,0,50,5,0,0,0,0,0,0
엔씨소프트,036570,80.0,30,10,0,0,0,10,0,0,0,15,15,0,0
한미사이언스,008930,80.0,0,40,10,0,0,0,5,0,0,15,10,0,0
지역난방공사,071320,80.0,0,30,0,0,0,30,15,0,0,5,0,0,0
롯데웰푸드,280360,80.0,0,30,0,0,0,0,5,20,0,15,5,5,0
BGF리테일,282330,80.0,10,40,10,0,0,20,0,0,0,0,0,0,0
한올바이오파마,009420,80.0,40,0,0,0,0,0,0,30,0,10,0,0,0
한샘,009240,80.0,0,30,0,0,0,40,5,0,0,5,0,0,0
HS효성첨단소재,298050,80.0,50,0,0,0,0,0,10,0,0,0,0,15,5
태광산업,003240,80.0,0,40,0,5,0,30,0,0,0,0,0,5,0
GKL,114090,80.0,0,30,0,5,0,30,5,10,0,0,0,0,0
SK바이오사이언스,302440,80.0,40,0,0,0,0,0,0,0,0,0,0,25,15
현대오토에버,307950,80.0,20,10,0,0,0,50,0,0,0,0,0,0,0
LG유플러스,032640,80.0,0,30,0,0,0,0,0,20,0,10,0,15,5
한국전력,015760,80.0,0,10,0,0,0,40,0,0,0,15,5,10,0
삼성전자,005930,80.0,10,20,0,0,0,50,0,0,0,0,0,0,0
에이피알,278470,80.0,0,20,10,0,0,50,0,0,0,0,0,0,0
우리금융지주,316140,80.0,30,10,0,0,0,40,0,0,0,0,0,0,0
현대엘리베이터,017800,75.0,10,10,0,0,0,50,0,0,0,0,0,5,0
한국타이어앤테크놀로지,161390,75.0,0,10,0,0,0,40,5,0,0,10,10,0,0
에스원,012750,75.0,0,20,0,0,0,30,0,20,0,0,0,5,0
한화엔진,082740,75.0,10,20,0,0,0,30,10,0,0,0,0,5,0
카카오페이,377300,75.0,50,0,0,0,0,0,0,20,0,5,0,0,0
KCC,002380,75.0,10,10,0,0,0,50,0,0,0,5,0,0,0
대한전선,001440,75.0,0,40,10,5,0,0,10,10,0,0,0,0,0
JB금융지주,175330,75.0,0,30,10,0,0,30,0,0,0,0,0,5,0
삼성생명,032830,75.0,10,0,0,0,0,30,10,0,0,10,10,5,0
기업은행,024110,75.0,0,40,0,0,0,30,0,0,0,5,0,0,0
삼성바이오로직스,207940,70.0,0,50,10,5,0,0,0,0,0,0,0,5,0
SK,034730,70.0,10,10,0,0,0,0,0,0,0,25,25,0,0
S-Oil,010950,70.0,0,40,10,0,0,0,0,0,0,0,0,15,5
미래에셋증권,006800,70.0,10,20,20,0,0,0,0,10,0,5,5,0,0
영원무역,111770,70.0,0,20,0,0,0,50,0,0,0,0,0,0,0
CJ,001040,70.0,50,0,0,0,0,20,0,0,0,0,0,0,0
삼성E&A,028050,70.0,0,30,10,0,0,0,10,10,0,10,0,0,0
하나금융지주,086790,70.0,30,20,0,0,0,20,0,0,0,0,0,0,0
POSCO홀딩스,005490,70.0,0,10,10,0,0,10,15,0,0,5,0,15,5
삼성물산,028260,70.0,10,10,0,0,0,50,0,0,0,0,0,0,0
아모레퍼시픽홀딩스,002790,70.0,10,20,0,0,0,10,0,0,0,0,0,20,10
세방전지,004490,70.0,0,20,0,0,0,50,0,0,0,0,0,0,0
롯데지주,004990,70.0,0,50,10,0,0,0,0,0,0,5,0,5,0
포스코인터내셔널,047050,65.0,30,0,0,0,0,20,5,10,0,0,0,0,0
키움증권,039490,65.0,0,10,0,0,0,20,0,0,0,15,15,5,0
대한항공,003490,65.0,0,20,0,0,0,40,0,0,0,5,0,0,0
NH투자증권,005940,65.0,0,10,0,5,0,10,10,30,0,0,0,0,0
두산에너빌리티,034020,65.0,0,20,0,5,0,10,20,0,0,5,0,5,0
아세아,002030,65.0,40,0,0,0,0,0,0,20,0,0,0,5,0
미원상사,002840,65.0,0,10,0,0,0,50,5,0,0,0,0,0,0
DL,000210,65.0,0,30,10,0,10,0,5,10,0,0,0,0,0
LS ELECTRIC,010120,65.0,30,0,0,0,0,30,0,0,0,5,0,0,0
SK아이이테크놀로지,361610,60.0,20,10,0,0,0,0,5,20,0,0,0,5,0
호텔신라,008770,60.0,50,0,10,0,0,0,0,0,0,0,0,0,0
한온시스템,018880,60.0,30,0,0,0,0,0,5,20,0,5,0,0,0
동원시스템즈,014820,60.0,0,20,0,5,0,20,15,0,0,0,0,0,0
두산,000150,60.0,20,0,0,0,0,0,0,0,0,25,15,0,0
효성중공업,298040,60.0,30,0,0,0,0,0,10,0,0,15,5,0,0
이수페타시스,007660,55.0,20,0,0,0,0,10,10,10,0,5,0,0,0
삼양식품,003230,55.0,30,10,0,0,0,0,5,0,0,5,0,5,0
한미반도체,042700,55.0,10,10,0,0,0,0,0,0,0,0,0,20,15
HD현대일렉트릭,267260,55.0,10,10,0,0,0,30,0,0,0,5,0,0,0
현대백화점,069960,55.0,0,40,0,0,0,10,0,0,0,0,0,5,0
종근당,185750,50.0,0,20,0,0,0,30,0,0,0,0,0,0,0
LIG넥스원,079550,50.0,0,30,0,0,0,0,5,0,0,5,0,10,0
산일전기,062040,50.0,20,10,0,0,0,10,10,0,0,0,0,0,0
한화솔루션,009830,50.0,0,20,0,0,0,0,15,10,0,0,0,5,0
코스모화학,005420,50.0,20,10,0,0,0,0,20,0,0,0,0,0,0
에코프로머티,450080,50.0,10,10,0,0,0,30,0,0,0,0,0,0,0
롯데정밀화학,004000,45.0,0,30,0,0,0,0,0,0,0,10,5,0,0
LG에너지솔루션,373220,45.0,20,10,0,0,0,0,5,0,0,5,0,5,0
메리츠금융지주,138040,40.0,0,10,0,0,0,10,0,0,0,0,0,15,5
세아제강지주,003030,40.0,10,10,0,5,0,0,10,0,0,5,0,0,0
풍산,103140,40.0,0,10,0,0,0,20,0,0,0,5,0,5,0
NAVER,035420,40.0,40,0,0,0,0,0,0,0,0,0,0,0,0
