Name,Code,FinalScore,Score_1d,Score_2d,Score_3d,rsi30,momentum_pos,macd_cross,ema5_over_ema20,ema20_over_ema60,rs_plus,p1_full,frg_own_1m_up,frg_3_pos,frg_5_pos,ins_3_pos,ins_5_pos
풍산,103140,161,56,112,147,0,6,0,0,0,8,30,0,0,0,4,8
한화생명,088350,135,56,88,106,0,6,0,0,0,8,30,0,0,0,4,8
대한항공,003490,133,44,88,137,0,6,0,0,0,8,30,0,0,0,0,0
포스코DX,022100,121,53,79,87,0,6,0,0,0,8,30,0,5,0,4,0
삼성전자,005930,116,31,95,113,0,6,0,0,0,8,0,0,5,0,4,8
한미반도체,042700,114,40,84,98,0,6,0,0,0,0,30,0,0,0,4,0
BNK금융지주,138930,100,26,82,100,0,6,0,0,0,8,0,0,0,0,4,8
우리금융지주,316140,99,39,65,83,0,6,8,0,0,8,0,0,5,0,4,8
SK하이닉스,000660,92,31,65,87,0,6,0,0,0,8,0,0,5,0,4,8
롯데칠성,005300,92,34,60,84,0,6,8,0,0,8,0,0,0,0,4,8
iM금융지주,139130,88,18,74,100,0,6,0,0,0,8,0,0,0,0,4,0
LIG넥스원,079550,88,14,70,118,0,6,0,0,0,8,0,0,0,0,0,0
카카오,035720,85,38,53,62,0,6,8,0,0,0,0,0,5,7,4,8
키움증권,039490,84,18,62,106,0,6,0,0,0,8,0,0,0,0,4,0
삼성생명,032830,82,26,52,90,0,6,0,0,0,8,0,0,0,0,4,8
미원에스씨,268280,81,14,58,114,0,6,0,0,0,8,0,0,0,0,0,0
JB금융지주,175330,80,26,52,86,0,6,0,0,0,8,0,0,0,0,4,8
OCI홀딩스,010060,78,26,52,78,0,6,0,0,0,8,0,0,0,0,4,8
HL만도,204320,78,26,52,78,0,6,0,0,0,8,0,0,0,0,4,8
금호석유화학,011780,77,20,46,102,0,0,0,0,0,8,0,0,0,0,4,8
카카오페이,377300,76,26,56,67,0,6,0,4,0,0,0,0,5,7,4,0
SK스퀘어,402340,76,26,52,74,0,6,0,0,0,8,0,0,0,0,4,8
농심,004370,76,28,54,65,0,6,0,4,6,0,0,0,5,7,0,0
동서,026960,75,26,52,70,0,6,0,0,0,8,0,0,0,0,4,8
씨에스윈드,112610,72,20,44,92,0,0,0,0,0,8,0,0,0,0,4,8
녹십자,006280,71,24,44,76,4,0,0,0,0,8,0,0,5,7,0,0
강원랜드,035250,70,26,49,60,0,6,0,0,0,8,0,0,5,7,0,0
LG유플러스,032640,69,23,45,71,0,6,0,0,0,0,0,0,5,0,4,8
한화,000880,69,22,52,63,0,6,0,4,0,8,0,0,0,0,4,0
삼성카드,029780,68,26,44,62,0,6,8,0,0,0,0,0,0,0,4,8
코오롱인더,120110,67,20,46,72,0,0,0,0,0,8,0,0,0,0,4,8
한화시스템,272210,66,23,46,60,0,6,0,0,0,8,0,0,5,0,4,0
롯데쇼핑,023530,66,26,44,56,0,6,0,0,0,8,0,0,0,0,4,8
에스원,012750,65,24,42,60,0,6,0,0,6,0,0,0,0,0,4,8
세방전지,004490,63,26,38,56,0,6,0,0,0,8,0,0,0,0,4,8
SK텔레콤,017670,62,23,46,50,0,6,0,0,0,0,0,0,5,0,4,8
대우건설,047040,62,23,41,55,0,6,0,0,0,8,0,0,5,0,4,0
현대해상,001450,62,26,36,54,0,6,0,0,0,8,0,0,0,0,4,8
에스엘,005850,62,20,40,66,0,0,0,0,0,8,0,0,0,0,4,8
